X	Y	Class label
0,168	0,934	Class 1
0,185	0,952	Class 1
0,164	0,952	Class 1
0,150	0,905	Class 1
0,134	0,948	Class 1
0,145	0,931	Class 1
0,118	0,940	Class 1
0,119	0,936	Class 1
0,137	0,909	Class 1
0,143	0,950	Class 1
0,123	0,918	Class 1
0,131	0,919	Class 1
0,167	0,908	Class 1
0,112	0,897	Class 1
0,166	0,913	Class 1
0,137	0,916	Class 1
0,147	0,905	Class 1
0,131	0,933	Class 1
0,124	0,921	Class 1
0,139	0,900	Class 1
0,143	0,893	Class 1
0,165	0,914	Class 1
0,163	0,903	Class 1
0,145	0,886	Class 1
0,144	0,904	Class 1
0,165	0,916	Class 1
0,124	0,897	Class 1
0,189	0,870	Class 1
0,126	0,896	Class 1
0,158	0,898	Class 1
0,169	0,903	Class 1
0,163	0,871	Class 1
0,174	0,918	Class 1
0,171	0,919	Class 1
0,192	0,872	Class 1
0,180	0,917	Class 1
0,169	0,909	Class 1
0,170	0,871	Class 1
0,153	0,919	Class 1
0,165	0,917	Class 1
0,177	0,868	Class 1
0,183	0,890	Class 1
0,145	0,898	Class 1
0,194	0,873	Class 1
0,156	0,874	Class 1
0,157	0,897	Class 1
0,153	0,890	Class 1
0,171	0,877	Class 1
0,186	0,891	Class 1
0,135	0,893	Class 1
0,202	0,930	Class 1
0,224	0,949	Class 1
0,196	0,914	Class 1
0,200	0,899	Class 1
0,183	0,946	Class 1
0,202	0,925	Class 1
0,212	0,945	Class 1
0,187	0,905	Class 1
0,201	0,934	Class 1
0,191	0,940	Class 1
0,194	0,918	Class 1
0,192	0,912	Class 1
0,228	0,945	Class 1
0,214	0,924	Class 1
0,204	0,920	Class 1
0,204	0,938	Class 1
0,230	0,927	Class 1
0,228	0,903	Class 1
0,203	0,936	Class 1
0,201	0,917	Class 1
0,220	0,915	Class 1
0,232	0,936	Class 1
0,234	0,905	Class 1
0,215	0,921	Class 1
0,226	0,896	Class 1
0,194	0,927	Class 1
0,215	0,925	Class 1
0,223	0,921	Class 1
0,203	0,920	Class 1
0,206	0,918	Class 1
0,193	0,921	Class 1
0,175	0,913	Class 1
0,175	0,917	Class 1
0,182	0,910	Class 1
0,187	0,932	Class 1
0,179	0,918	Class 1
0,184	0,932	Class 1
0,181	0,915	Class 1
0,180	0,894	Class 1
0,163	0,911	Class 1
0,148	0,900	Class 1
0,180	0,895	Class 1
0,180	0,895	Class 1
0,181	0,903	Class 1
0,165	0,887	Class 1
0,162	0,882	Class 1
0,174	0,901	Class 1
0,171	0,871	Class 1
0,180	0,910	Class 1
0,167	0,891	Class 1
0,154	0,875	Class 1
0,139	0,907	Class 1
0,194	0,905	Class 1
0,151	0,904	Class 1
0,172	0,916	Class 1
0,191	0,885	Class 1
0,172	0,919	Class 1
0,166	0,882	Class 1
0,153	0,877	Class 1
0,155	0,921	Class 1
0,165	0,909	Class 1
0,175	0,916	Class 1
0,161	0,932	Class 1
0,170	0,932	Class 1
0,167	0,931	Class 1
0,160	0,936	Class 1
0,191	0,953	Class 1
0,185	0,934	Class 1
0,154	0,940	Class 1
0,184	0,928	Class 1
0,179	0,950	Class 1
0,165	0,933	Class 1
0,191	0,935	Class 1
0,148	0,953	Class 1
0,164	0,954	Class 1
0,166	0,950	Class 1
0,166	0,956	Class 1
0,171	0,930	Class 1
0,175	0,916	Class 1
0,164	0,926	Class 1
0,148	0,940	Class 1
0,179	0,923	Class 1
0,134	0,909	Class 1
0,165	0,903	Class 1
0,166	0,934	Class 1
0,152	0,944	Class 1
0,130	0,918	Class 1
0,152	0,935	Class 1
0,179	0,913	Class 1
0,164	0,912	Class 1
0,166	0,940	Class 1
0,162	0,916	Class 1
0,157	0,922	Class 1
0,171	0,916	Class 1
0,177	0,928	Class 1
0,187	0,916	Class 1
0,178	0,918	Class 1
0,176	0,918	Class 1
0,200	0,920	Class 1
0,174	0,910	Class 1
0,179	0,912	Class 1
0,177	0,934	Class 1
0,163	0,919	Class 1
0,169	0,926	Class 1
0,164	0,909	Class 1
0,156	0,914	Class 1
0,175	0,893	Class 1
0,139	0,895	Class 1
0,156	0,921	Class 1
0,137	0,922	Class 1
0,145	0,912	Class 1
0,170	0,915	Class 1
0,144	0,918	Class 1
0,172	0,930	Class 1
0,172	0,917	Class 1
0,164	0,945	Class 1
0,172	0,912	Class 1
0,132	0,917	Class 1
0,135	0,917	Class 1
0,147	0,884	Class 1
0,175	0,901	Class 1
0,140	0,900	Class 1
0,132	0,916	Class 1
0,141	0,914	Class 1
0,171	0,925	Class 1
0,170	0,919	Class 1
0,175	0,914	Class 1
0,158	0,912	Class 1
0,166	0,913	Class 1
0,132	0,897	Class 1
0,147	0,906	Class 1
0,146	0,900	Class 1
0,147	0,902	Class 1
0,169	0,918	Class 1
0,165	0,924	Class 1
0,159	0,906	Class 1
0,173	0,916	Class 1
0,145	0,928	Class 1
0,157	0,909	Class 1
0,165	0,909	Class 1
0,171	0,921	Class 1
0,177	0,920	Class 1
0,176	0,918	Class 1
0,171	0,928	Class 1
0,159	0,934	Class 1
0,144	0,930	Class 1
0,140	0,918	Class 1
0,197	0,911	Class 1
0,204	0,933	Class 1
0,187	0,937	Class 1
0,193	0,935	Class 1
0,177	0,918	Class 1
0,177	0,934	Class 1
0,178	0,917	Class 1
0,184	0,925	Class 1
0,207	0,943	Class 1
0,184	0,921	Class 1
0,188	0,888	Class 1
0,186	0,904	Class 1
0,199	0,901	Class 1
0,199	0,905	Class 1
0,188	0,916	Class 1
0,196	0,911	Class 1
0,177	0,913	Class 1
0,178	0,917	Class 1
0,213	0,855	Class 1
0,212	0,875	Class 1
0,196	0,898	Class 1
0,205	0,882	Class 1
0,196	0,887	Class 1
0,184	0,888	Class 1
0,170	0,904	Class 1
0,199	0,901	Class 1
0,187	0,885	Class 1
0,189	0,874	Class 1
0,201	0,877	Class 1
0,191	0,885	Class 1
0,209	0,891	Class 1
0,184	0,904	Class 1
0,191	0,888	Class 1
0,201	0,866	Class 1
0,120	0,058	Class 2
0,099	0,081	Class 2
0,111	0,081	Class 2
0,106	0,061	Class 2
0,140	0,081	Class 2
0,103	0,106	Class 2
0,110	0,094	Class 2
0,107	0,072	Class 2
0,132	0,102	Class 2
0,115	0,091	Class 2
0,131	0,067	Class 2
0,128	0,067	Class 2
0,135	0,087	Class 2
0,115	0,089	Class 2
0,139	0,091	Class 2
0,122	0,063	Class 2
0,094	0,119	Class 2
0,133	0,105	Class 2
0,097	0,102	Class 2
0,131	0,108	Class 2
0,136	0,109	Class 2
0,112	0,107	Class 2
0,107	0,156	Class 2
0,127	0,104	Class 2
0,126	0,057	Class 2
0,140	0,043	Class 2
0,132	0,070	Class 2
0,101	0,079	Class 2
0,111	0,069	Class 2
0,119	0,069	Class 2
0,136	0,069	Class 2
0,109	0,076	Class 2
0,123	0,070	Class 2
0,137	0,093	Class 2
0,144	0,060	Class 2
0,133	0,090	Class 2
0,156	0,074	Class 2
0,112	0,079	Class 2
0,148	0,086	Class 2
0,161	0,072	Class 2
0,108	0,050	Class 2
0,091	0,082	Class 2
0,126	0,060	Class 2
0,089	0,039	Class 2
0,089	0,064	Class 2
0,074	0,053	Class 2
0,121	0,062	Class 2
0,106	0,029	Class 2
0,078	0,067	Class 2
0,086	0,040	Class 2
0,117	0,056	Class 2
0,118	0,068	Class 2
0,068	0,080	Class 2
0,112	0,064	Class 2
0,089	0,050	Class 2
0,082	0,058	Class 2
0,084	0,062	Class 2
0,096	0,078	Class 2
0,106	0,082	Class 2
0,093	0,068	Class 2
0,100	0,073	Class 2
0,086	0,088	Class 2
0,089	0,101	Class 2
0,120	0,080	Class 2
0,094	0,070	Class 2
0,105	0,076	Class 2
0,119	0,065	Class 2
0,111	0,095	Class 2
0,128	0,094	Class 2
0,087	0,081	Class 2
0,110	0,098	Class 2
0,114	0,081	Class 2
0,112	0,055	Class 2
0,109	0,091	Class 2
0,111	0,076	Class 2
0,129	0,086	Class 2
0,112	0,084	Class 2
0,124	0,086	Class 2
0,093	0,084	Class 2
0,106	0,081	Class 2
0,142	0,097	Class 2
0,176	0,094	Class 2
0,139	0,122	Class 2
0,137	0,069	Class 2
0,147	0,093	Class 2
0,153	0,095	Class 2
0,185	0,100	Class 2
0,141	0,091	Class 2
0,166	0,094	Class 2
0,184	0,115	Class 2
0,145	0,078	Class 2
0,132	0,091	Class 2
0,144	0,071	Class 2
0,174	0,090	Class 2
0,150	0,074	Class 2
0,160	0,098	Class 2
0,180	0,099	Class 2
0,149	0,076	Class 2
0,190	0,092	Class 2
0,176	0,102	Class 2
0,198	0,089	Class 2
0,177	0,058	Class 2
0,166	0,104	Class 2
0,152	0,082	Class 2
0,144	0,080	Class 2
0,146	0,084	Class 2
0,167	0,100	Class 2
0,175	0,119	Class 2
0,184	0,090	Class 2
0,152	0,087	Class 2
0,163	0,106	Class 2
0,180	0,110	Class 2
0,162	0,086	Class 2
0,166	0,087	Class 2
0,129	0,080	Class 2
0,168	0,078	Class 2
0,179	0,094	Class 2
0,170	0,103	Class 2
0,171	0,059	Class 2
0,150	0,074	Class 2
0,143	0,067	Class 2
0,141	0,065	Class 2
0,145	0,073	Class 2
0,121	0,074	Class 2
0,164	0,073	Class 2
0,180	0,054	Class 2
0,199	0,081	Class 2
0,158	0,062	Class 2
0,164	0,078	Class 2
0,194	0,072	Class 2
0,162	0,075	Class 2
0,185	0,049	Class 2
0,166	0,087	Class 2
0,149	0,054	Class 2
0,176	0,073	Class 2
0,153	0,046	Class 2
0,159	0,055	Class 2
0,157	0,082	Class 2
0,160	0,081	Class 2
0,135	0,061	Class 2
0,135	0,070	Class 2
0,174	0,066	Class 2
0,162	0,073	Class 2
0,157	0,062	Class 2
0,144	0,037	Class 2
0,119	0,048	Class 2
0,144	0,053	Class 2
0,142	0,060	Class 2
0,140	0,035	Class 2
0,137	0,036	Class 2
0,157	0,040	Class 2
0,157	0,043	Class 2
0,120	0,030	Class 2
0,136	0,041	Class 2
0,147	0,022	Class 2
0,127	0,066	Class 2
0,145	0,042	Class 2
0,138	0,061	Class 2
0,147	0,044	Class 2
0,129	0,065	Class 2
0,142	0,044	Class 2
0,096	0,052	Class 2
0,115	0,045	Class 2
0,125	0,040	Class 2
0,161	0,055	Class 2
0,146	0,038	Class 2
0,124	0,056	Class 2
0,128	0,058	Class 2
0,131	0,079	Class 2
0,146	0,057	Class 2
0,156	0,098	Class 2
0,114	0,069	Class 2
0,151	0,077	Class 2
0,125	0,090	Class 2
0,127	0,088	Class 2
0,130	0,088	Class 2
0,128	0,089	Class 2
0,137	0,082	Class 2
0,142	0,104	Class 2
0,115	0,116	Class 2
0,140	0,110	Class 2
0,126	0,081	Class 2
0,121	0,085	Class 2
0,150	0,110	Class 2
0,156	0,093	Class 2
0,125	0,115	Class 2
0,139	0,092	Class 2
0,171	0,130	Class 2
0,170	0,105	Class 2
0,129	0,100	Class 2
0,115	0,124	Class 2
0,129	0,089	Class 2
0,163	0,119	Class 2
0,127	0,102	Class 2
0,149	0,119	Class 2
0,135	0,124	Class 2
0,122	0,090	Class 2
0,157	0,106	Class 2
0,147	0,101	Class 2
0,132	0,123	Class 2
0,121	0,115	Class 2
0,133	0,102	Class 2
0,127	0,112	Class 2
0,124	0,126	Class 2
0,125	0,130	Class 2
0,148	0,128	Class 2
0,128	0,122	Class 2
0,134	0,144	Class 2
0,123	0,098	Class 2
0,129	0,108	Class 2
0,115	0,085	Class 2
0,111	0,108	Class 2
0,121	0,088	Class 2
0,129	0,092	Class 2
0,107	0,084	Class 2
0,113	0,093	Class 2
0,101	0,097	Class 2
0,102	0,100	Class 2
0,097	0,094	Class 2
0,120	0,109	Class 2
0,120	0,084	Class 2
0,097	0,118	Class 2
0,126	0,078	Class 2
0,108	0,079	Class 2
0,069	0,090	Class 2
0,095	0,092	Class 2
0,125	0,081	Class 2
0,083	0,100	Class 2
0,093	0,116	Class 2
0,107	0,060	Class 2
0,110	0,085	Class 2
0,091	0,113	Class 2
0,133	0,059	Class 2
0,151	0,067	Class 2
0,130	0,082	Class 2
0,114	0,072	Class 2
0,157	0,070	Class 2
0,154	0,056	Class 2
0,139	0,065	Class 2
0,141	0,060	Class 2
0,131	0,048	Class 2
0,176	0,037	Class 2
0,136	0,047	Class 2
0,116	0,055	Class 2
0,104	0,055	Class 2
0,181	0,060	Class 2
0,136	0,049	Class 2
0,135	0,077	Class 2
0,153	0,066	Class 2
0,175	0,032	Class 2
0,170	0,029	Class 2
0,177	0,071	Class 2
0,167	0,029	Class 2
0,145	0,058	Class 2
0,179	0,040	Class 2
0,174	0,064	Class 2
0,151	0,057	Class 2
0,129	0,050	Class 2
0,169	0,060	Class 2
0,187	0,042	Class 2
0,176	0,065	Class 2
0,173	0,057	Class 2
0,181	0,048	Class 2
0,171	0,066	Class 2
0,178	0,052	Class 2
0,197	0,055	Class 2
0,200	0,038	Class 2
0,180	0,023	Class 2
0,188	0,046	Class 2
0,211	0,051	Class 2
0,171	0,052	Class 2
0,185	0,046	Class 2
0,168	0,027	Class 2
0,202	0,038	Class 2
0,223	0,032	Class 2
0,213	0,026	Class 2
0,219	0,052	Class 2
0,202	0,039	Class 2
0,222	0,032	Class 2
0,192	0,070	Class 2
0,164	0,056	Class 2
0,183	0,078	Class 2
0,173	0,065	Class 2
0,134	0,055	Class 2
0,174	0,081	Class 2
0,171	0,063	Class 2
0,146	0,061	Class 2
0,161	0,055	Class 2
0,163	0,082	Class 2
0,147	0,058	Class 2
0,170	0,082	Class 2
0,161	0,070	Class 2
0,169	0,080	Class 2
0,172	0,090	Class 2
0,140	0,097	Class 2
0,167	0,053	Class 2
0,172	0,085	Class 2
0,184	0,077	Class 2
0,172	0,055	Class 2
0,187	0,093	Class 2
0,145	0,083	Class 2
0,164	0,094	Class 2
0,173	0,068	Class 2
0,188	0,082	Class 2
0,136	0,028	Class 2
0,119	0,038	Class 2
0,165	0,033	Class 2
0,131	0,018	Class 2
0,151	0,036	Class 2
0,111	0,028	Class 2
0,134	0,065	Class 2
0,089	0,044	Class 2
0,127	0,041	Class 2
0,113	0,060	Class 2
0,099	0,047	Class 2
0,088	0,044	Class 2
0,139	0,035	Class 2
0,103	0,048	Class 2
0,136	0,045	Class 2
0,139	0,011	Class 2
0,108	0,035	Class 2
0,114	0,014	Class 2
0,108	0,040	Class 2
0,104	0,042	Class 2
0,117	0,019	Class 2
0,112	0,034	Class 2
0,119	0,026	Class 2
0,111	0,008	Class 2
0,093	0,063	Class 2
0,128	0,058	Class 2
0,091	0,055	Class 2
0,121	0,062	Class 2
0,109	0,054	Class 2
0,112	0,063	Class 2
0,106	0,072	Class 2
0,111	0,047	Class 2
0,127	0,098	Class 2
0,134	0,102	Class 2
0,115	0,106	Class 2
0,113	0,094	Class 2
0,105	0,110	Class 2
0,150	0,098	Class 2
0,127	0,110	Class 2
0,114	0,102	Class 2
0,101	0,132	Class 2
0,110	0,117	Class 2
0,112	0,097	Class 2
0,084	0,136	Class 2
0,109	0,111	Class 2
0,115	0,115	Class 2
0,084	0,113	Class 2
0,131	0,118	Class 2
0,986	0,086	Class 3
0,996	0,072	Class 3
0,985	0,074	Class 3
1,010	0,074	Class 3
0,996	0,043	Class 3
0,993	0,069	Class 3
0,979	0,096	Class 3
1,006	0,055	Class 3
0,970	0,062	Class 3
0,957	0,046	Class 3
0,989	0,061	Class 3
0,956	0,065	Class 3
0,984	0,064	Class 3
0,978	0,084	Class 3
0,972	0,082	Class 3
0,942	0,062	Class 3
0,991	0,019	Class 3
0,976	0,018	Class 3
0,972	0,055	Class 3
0,985	0,021	Class 3
0,957	0,008	Class 3
0,970	0,035	Class 3
0,992	0,012	Class 3
0,999	0,038	Class 3
0,982	0,058	Class 3
0,973	0,040	Class 3
0,963	0,067	Class 3
0,973	0,032	Class 3
0,979	0,063	Class 3
0,956	0,029	Class 3
0,997	0,051	Class 3
0,950	0,019	Class 3
0,977	0,085	Class 3
0,988	0,076	Class 3
0,978	0,092	Class 3
0,936	0,093	Class 3
0,978	0,070	Class 3
0,938	0,074	Class 3
0,946	0,087	Class 3
0,979	0,070	Class 3
0,972	0,039	Class 3
0,998	0,047	Class 3
0,970	0,048	Class 3
0,986	0,057	Class 3
1,002	0,038	Class 3
0,988	0,063	Class 3
0,988	0,031	Class 3
0,993	0,052	Class 3
0,977	0,069	Class 3
0,968	0,045	Class 3
0,983	0,089	Class 3
0,969	0,098	Class 3
0,955	0,080	Class 3
0,996	0,094	Class 3
0,963	0,065	Class 3
0,991	0,068	Class 3
0,993	0,087	Class 3
0,982	0,107	Class 3
0,937	0,099	Class 3
0,957	0,091	Class 3
0,981	0,099	Class 3
0,968	0,087	Class 3
0,953	0,074	Class 3
0,983	0,073	Class 3
0,953	0,039	Class 3
0,961	0,036	Class 3
0,958	0,043	Class 3
0,956	0,037	Class 3
0,947	0,017	Class 3
0,931	0,033	Class 3
0,931	0,032	Class 3
0,946	0,037	Class 3
0,929	0,038	Class 3
0,957	0,040	Class 3
0,937	0,035	Class 3
0,944	0,029	Class 3
0,962	0,020	Class 3
0,951	0,047	Class 3
0,955	0,033	Class 3
0,950	0,027	Class 3
0,957	0,026	Class 3
0,937	0,040	Class 3
0,934	0,028	Class 3
0,966	0,051	Class 3
0,967	0,017	Class 3
0,952	0,029	Class 3
0,981	0,030	Class 3
0,929	0,048	Class 3
0,909	0,056	Class 3
0,886	0,061	Class 3
0,942	0,062	Class 3
0,936	0,048	Class 3
0,940	0,053	Class 3
0,925	0,067	Class 3
0,934	0,054	Class 3
0,932	0,050	Class 3
0,937	0,028	Class 3
0,930	0,048	Class 3
0,905	0,063	Class 3
0,969	0,044	Class 3
0,923	0,066	Class 3
0,918	0,035	Class 3
0,925	0,039	Class 3
0,943	0,042	Class 3
0,931	0,056	Class 3
0,908	0,067	Class 3
0,936	0,069	Class 3
0,947	0,071	Class 3
0,933	0,087	Class 3
0,935	0,053	Class 3
0,941	0,081	Class 3
0,919	0,071	Class 3
0,933	0,070	Class 3
0,955	0,073	Class 3
0,958	0,114	Class 3
0,988	0,063	Class 3
0,997	0,073	Class 3
0,970	0,074	Class 3
0,943	0,066	Class 3
0,946	0,044	Class 3
0,992	0,067	Class 3
0,973	0,052	Class 3
0,976	0,068	Class 3
0,967	0,077	Class 3
0,972	0,074	Class 3
0,978	0,084	Class 3
0,967	0,083	Class 3
0,976	0,080	Class 3
0,968	0,065	Class 3
1,002	0,075	Class 3
1,009	0,064	Class 3
0,978	0,079	Class 3
0,981	0,088	Class 3
0,948	0,072	Class 3
1,015	0,069	Class 3
0,973	0,076	Class 3
0,974	0,089	Class 3
0,997	0,080	Class 3
0,979	0,083	Class 3
0,975	0,102	Class 3
0,968	0,096	Class 3
0,977	0,071	Class 3
0,944	0,063	Class 3
1,010	0,089	Class 3
1,011	0,064	Class 3
0,987	0,061	Class 3
0,967	0,092	Class 3
0,995	0,077	Class 3
0,958	0,064	Class 3
0,995	0,078	Class 3
0,985	0,073	Class 3
0,986	0,078	Class 3
1,002	0,057	Class 3
1,005	0,072	Class 3
1,013	0,061	Class 3
1,012	0,074	Class 3
0,995	0,069	Class 3
1,000	0,056	Class 3
0,982	0,068	Class 3
1,002	0,066	Class 3
0,968	0,052	Class 3
0,988	0,065	Class 3
0,978	0,012	Class 3
1,032	0,052	Class 3
0,984	0,066	Class 3
0,983	0,035	Class 3
1,001	0,045	Class 3
0,994	0,051	Class 3
1,023	0,058	Class 3
0,999	0,043	Class 3
1,005	0,031	Class 3
1,014	0,040	Class 3
0,976	0,024	Class 3
0,998	0,053	Class 3
1,027	0,026	Class 3
0,993	0,019	Class 3
0,964	0,026	Class 3
1,010	0,024	Class 3
0,982	0,043	Class 3
1,001	0,037	Class 3
1,001	0,053	Class 3
0,979	0,029	Class 3
0,991	0,035	Class 3
0,989	0,045	Class 3
0,976	0,050	Class 3
0,994	0,050	Class 3
0,981	0,037	Class 3
1,003	0,038	Class 3
0,972	0,033	Class 3
1,005	0,032	Class 3
0,964	0,033	Class 3
0,972	0,035	Class 3
0,996	0,024	Class 3
0,965	0,042	Class 3
0,968	0,030	Class 3
0,972	0,042	Class 3
0,982	0,041	Class 3
0,957	0,034	Class 3
1,000	0,040	Class 3
0,975	0,040	Class 3
0,980	0,038	Class 3
1,001	0,041	Class 3
0,985	0,040	Class 3
0,991	0,044	Class 3
0,991	0,061	Class 3
1,000	0,034	Class 3
0,999	0,048	Class 3
0,997	0,034	Class 3
0,979	0,030	Class 3
0,983	0,027	Class 3
0,994	0,034	Class 3
1,001	0,032	Class 3
0,973	0,024	Class 3
1,008	0,013	Class 3
0,989	0,033	Class 3
0,997	0,030	Class 3
0,989	-0,006	Class 3
0,974	0,025	Class 3
1,000	0,012	Class 3
1,007	0,017	Class 3
1,007	0,001	Class 3
0,975	0,029	Class 3
0,993	0,019	Class 3
1,009	0,032	Class 3
0,949	0,023	Class 3
0,935	0,021	Class 3
0,955	0,000	Class 3
0,927	-0,006	Class 3
0,947	-0,000	Class 3
0,966	0,022	Class 3
0,907	0,005	Class 3
0,935	0,010	Class 3
0,941	0,016	Class 3
0,943	-0,012	Class 3
0,905	0,011	Class 3
0,933	0,019	Class 3
0,919	-0,001	Class 3
0,918	0,012	Class 3
0,918	0,001	Class 3
0,938	-0,000	Class 3
0,949	0,029	Class 3
0,942	0,028	Class 3
0,951	0,056	Class 3
0,949	0,056	Class 3
0,954	0,030	Class 3
0,943	0,045	Class 3
0,943	0,062	Class 3
0,935	0,049	Class 3
0,962	0,009	Class 3
0,936	0,032	Class 3
0,955	0,046	Class 3
0,945	0,024	Class 3
0,992	0,025	Class 3
0,964	0,041	Class 3
0,960	0,011	Class 3
0,947	0,033	Class 3
0,964	0,073	Class 3
0,949	0,046	Class 3
0,986	0,024	Class 3
0,949	0,020	Class 3
0,944	0,055	Class 3
0,977	0,059	Class 3
0,978	0,029	Class 3
0,948	0,053	Class 3
0,953	0,043	Class 3
0,966	0,050	Class 3
0,968	0,013	Class 3
0,976	0,046	Class 3
0,973	0,042	Class 3
0,972	0,032	Class 3
0,970	0,043	Class 3
0,973	0,057	Class 3
0,970	0,049	Class 3
0,974	0,046	Class 3
0,947	0,059	Class 3
0,956	0,022	Class 3
0,977	0,033	Class 3
0,979	0,048	Class 3
0,977	0,043	Class 3
0,979	0,029	Class 3
0,985	0,009	Class 3
0,990	0,017	Class 3
0,974	0,030	Class 3
0,977	0,010	Class 3
0,980	0,040	Class 3
0,971	0,036	Class 3
0,979	0,004	Class 3
0,974	0,034	Class 3
0,972	0,012	Class 3
0,991	0,020	Class 3
0,981	0,046	Class 3
0,985	0,054	Class 3
0,996	0,024	Class 3
0,962	0,019	Class 3
0,998	0,032	Class 3
0,973	0,014	Class 3
0,992	0,073	Class 3
0,968	0,110	Class 3
0,978	0,098	Class 3
1,001	0,133	Class 3
0,966	0,101	Class 3
0,961	0,097	Class 3
0,982	0,085	Class 3
0,985	0,086	Class 3
0,985	0,063	Class 3
0,952	0,079	Class 3
0,957	0,055	Class 3
0,953	0,098	Class 3
0,971	0,077	Class 3
0,977	0,090	Class 3
0,984	0,067	Class 3
0,961	0,096	Class 3
0,951	0,091	Class 3
0,962	0,079	Class 3
0,945	0,081	Class 3
0,945	0,079	Class 3
0,948	0,066	Class 3
0,975	0,095	Class 3
0,962	0,084	Class 3
0,983	0,081	Class 3
0,965	0,025	Class 3
0,960	0,056	Class 3
0,947	0,054	Class 3
0,970	0,051	Class 3
0,982	0,049	Class 3
0,953	0,039	Class 3
0,962	0,057	Class 3
0,944	0,020	Class 3
0,953	0,052	Class 3
0,946	0,029	Class 3
0,917	0,025	Class 3
0,930	0,032	Class 3
0,927	0,008	Class 3
0,951	-0,005	Class 3
0,945	0,021	Class 3
0,944	0,027	Class 3
0,939	0,778	Class 4
0,950	0,763	Class 4
0,937	0,756	Class 4
0,948	0,764	Class 4
0,931	0,747	Class 4
0,939	0,722	Class 4
0,935	0,755	Class 4
0,940	0,720	Class 4
0,949	0,758	Class 4
0,953	0,761	Class 4
0,956	0,742	Class 4
0,953	0,753	Class 4
0,942	0,748	Class 4
0,923	0,748	Class 4
0,951	0,738	Class 4
0,930	0,733	Class 4
0,917	0,724	Class 4
0,921	0,738	Class 4
0,945	0,740	Class 4
0,927	0,765	Class 4
0,953	0,749	Class 4
0,922	0,740	Class 4
0,930	0,749	Class 4
0,916	0,767	Class 4
0,934	0,741	Class 4
0,933	0,731	Class 4
0,928	0,754	Class 4
0,919	0,745	Class 4
0,938	0,730	Class 4
0,928	0,747	Class 4
0,929	0,740	Class 4
0,932	0,751	Class 4
0,924	0,739	Class 4
0,953	0,747	Class 4
0,924	0,736	Class 4
0,927	0,755	Class 4
0,941	0,738	Class 4
0,920	0,737	Class 4
