	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YLR395c	1	-0.03699	-1.11599	-0.94027	-1.41503	-0.78304	-0.51175	-0.17880	-0.89711	-0.12640	1.92678	0.49634	0.38536	-0.06474	-0.32370	0.15414	1.63699	1.79422	
YOR065w	1	0.35471	-1.01744	-1.51826	-1.05816	-0.81793	-0.63063	-1.15588	-0.80571	0.09820	1.56807	0.77817	0.63973	0.18778	0.13892	0.34250	1.95488	0.94104	
YDL181w	1	-0.61916	-0.79230	-0.75648	-1.13261	-0.82215	-0.05198	-0.26094	-0.95350	-0.21915	2.74214	0.50326	0.37789	-0.27885	0.00176	-0.04601	0.53312	1.77495	
YGR183c	1	-0.19331	-1.13160	-1.21090	-0.59858	-0.54131	-0.74395	-0.10080	0.02254	0.26923	3.06209	1.09740	-0.09199	-0.65585	-0.44440	0.67451	0.08862	0.49830	
YLR258w	1	1.43510	-0.97660	-1.40105	-1.05377	-0.86083	-0.34955	-0.31097	-0.36885	-0.94766	0.58618	2.35155	1.10711	0.39325	0.72124	0.16173	-0.26273	-0.22415	
YML110c	1	0.49232	0.51382	0.02277	-1.03819	-1.87334	-1.43963	-0.81596	-0.81596	0.02277	2.14828	1.49951	0.50307	-0.01307	-0.14928	0.11955	0.34536	0.47798	
YLR273c	1	1.26126	0.55898	0.20784	-0.49443	-0.67000	-0.60417	-0.84557	-0.51638	0.93207	2.20494	1.56851	-0.20913	-0.51638	-1.52590	-0.69195	-0.82363	0.16395	
YCR005c	1	0.36415	-0.70828	-1.27570	-1.15087	-1.29273	-1.31542	-0.81042	0.71028	1.18692	0.74433	0.80674	1.58979	1.44226	0.34713	0.27904	-0.53238	-0.38485	
YCL040w	1	1.49015	-0.68364	-1.25793	-0.99419	-0.70491	-1.08352	-1.18562	-0.76447	-0.47945	0.83504	1.53269	0.93288	0.07357	0.32456	0.20970	0.09059	1.66457	
YMR256c	1	-0.56861	-1.23822	-1.54633	-1.17249	-0.35088	-0.61790	-0.45769	-0.57271	0.35571	1.69494	1.12803	-0.34266	-0.17423	0.89798	0.64738	0.45020	1.86748	
YIL009w	1	-0.21170	0.63510	-0.50573	-1.07026	-1.12907	-0.88209	-1.18788	-1.16435	0.23522	1.67008	1.78769	1.15259	0.39988	-0.11761	-0.61158	-0.17642	1.17611	
YLL040c	1	0.48268	0.94636	-1.93405	-1.58278	-0.83809	-0.12150	-0.37441	-0.72568	0.38433	2.14067	1.08687	0.55294	0.65129	-0.65543	-0.21985	0.32813	-0.12150	
YNR016c	1	-0.75696	0.62268	1.98986	0.94034	1.82169	-0.35833	-0.45487	-0.95316	-1.19919	1.20505	0.45762	-0.09361	-1.10576	-0.55453	-0.84416	-0.24621	-0.47044	
YBR067c	1	2.31493	2.20003	1.19168	0.40141	-0.28568	-0.60460	-0.65384	-0.34899	-0.23174	-0.15436	-0.50611	-0.72888	-0.86958	-0.89538	-0.65150	-0.51314	0.33575	
YPL058c	1	-0.74556	-1.42581	-1.35522	-1.21404	-1.13061	-0.73272	-0.14873	1.17327	1.94336	0.78180	0.48018	-0.18082	0.49943	0.04379	0.49301	0.21706	1.30162	
YGL055w	1	0.15878	0.84738	2.38983	1.90629	1.00958	-0.33089	-0.82974	-1.05009	-0.95215	-0.03402	-0.22683	-0.66141	-0.75629	-0.83892	-0.35843	-0.41352	0.14042	
YGR281W	1	-0.54172	-1.04313	-1.41083	-1.51112	-1.44426	-0.64200	0.29396	0.09340	0.89566	1.69792	1.46393	0.59481	0.16026	-0.29102	0.26054	0.27725	1.14636	
YBR083w	1	-0.93736	-0.94103	-0.73569	-0.75403	-0.59270	-0.52670	-0.75769	-0.77236	-0.15270	2.56059	1.42027	0.21396	-0.15637	-0.03537	-0.02804	0.74562	1.44961	
YBR054w	1	1.06791	0.30566	-0.38853	-1.02827	-1.19161	-1.31071	-0.92278	0.39754	0.89776	2.37461	1.05770	0.08787	-0.40554	-0.89216	-0.60631	-0.14352	0.70039	
YKL116c	1	-0.62731	-0.37310	-0.42394	-0.88153	-0.41123	-0.77984	-1.18659	-0.65274	0.83443	2.88086	1.11406	0.85985	0.08449	-0.48750	-0.39852	-0.23328	0.68190	
YPR002w	1	1.43429	-0.52505	-0.44341	-0.06243	-0.57948	-0.96046	-1.01489	0.01921	1.40708	2.25068	0.99888	0.50904	0.26413	-0.76997	-0.63390	-1.04210	-0.85161	
YNR067c	1	-0.57943	-0.80507	-0.97892	-0.91604	-0.67191	-0.23173	-0.64232	-0.74219	-0.12816	2.45743	2.12082	0.95564	0.27873	0.01610	-0.27612	-0.17255	0.31572	
YBR158w	1	-0.92753	-0.45371	-1.18644	-1.09582	-0.58576	-0.34497	-0.14560	-0.50032	-0.20256	2.51088	2.01117	0.77873	-0.13007	-0.10159	-0.16890	-0.17149	0.71400	
YDL117w	1	-1.06632	-0.36717	-0.46825	-1.10844	-1.04947	-0.08077	0.02032	-0.78834	0.54257	2.70742	1.74714	0.28145	-0.08919	-0.51879	-0.46825	0.19721	0.50888	
YGR035c	1	-1.06917	-1.36937	-1.44084	-1.03344	-0.43305	-0.19004	0.46753	1.46102	2.26153	1.04647	0.13874	-0.42590	-0.44020	-0.25436	0.27455	0.43179	0.57474	
YHL026c	1	-0.06168	0.25287	-0.58593	-1.08921	-0.60690	-0.62787	-0.06168	1.02877	2.83219	1.30138	-0.01974	-0.58593	-1.23600	-0.75369	-0.39720	0.10608	0.50451	
YMR007w	1	-0.55027	0.59727	-0.73911	-0.34691	-0.09997	-0.86984	-0.75363	0.27770	1.04757	3.19739	0.51011	-0.52122	-1.01510	-0.14355	-0.40501	0.20507	-0.39049	
YMR254c	1	-0.32592	-0.80293	-1.27994	-0.91301	-0.61946	-1.09647	0.22447	0.70148	2.86637	0.95833	0.00432	-0.43600	-0.50938	0.11440	-0.10576	0.22447	0.99503	
YNL046w	1	-0.44646	-0.85191	-0.86066	-0.60981	-0.62147	-0.38520	-0.68565	-0.83149	-0.22186	2.75923	1.74123	1.03825	-0.00601	-0.15477	-0.41146	-0.00017	0.54821	
YOR264w	1	-0.56251	-0.70091	-0.91180	-0.75363	-0.47024	-0.21981	-0.62182	-0.71409	0.09653	3.00949	1.62550	0.53809	0.05040	-0.11436	-0.39116	-0.40434	0.54468	
YPL066w	1	-1.20950	-1.51725	0.00226	-0.36319	-0.80558	-0.09391	-0.36319	-0.28625	-0.01697	2.00264	2.32962	0.86781	0.32925	-0.24778	-0.26702	-0.78635	0.42542	
YBR052c	1	1.35694	-0.54876	-1.15676	-1.07963	-0.90267	-1.14315	-1.05694	-0.60774	-0.18123	1.66095	0.73078	0.71264	0.18630	-0.03603	0.20445	-0.09502	1.95588	
YPL158c	1	-0.01932	-0.52303	-0.80774	-0.63253	-0.34783	-0.09233	-0.72014	-0.68363	0.56469	2.87882	1.40420	-0.17263	-0.16533	-0.53763	-0.64713	-0.77124	1.27280	
YHR022c	1	2.13732	-0.06297	-0.83604	-1.16311	-1.43071	-1.16311	-0.92524	-0.62790	0.05597	1.27505	0.73984	0.41277	0.79931	-0.21163	-0.41977	0.20464	1.21558	
YPL004c	1	-0.30568	-1.41849	-1.57963	-1.03077	-0.71858	-0.60276	-0.76893	-0.46681	0.50502	2.03577	0.89778	0.79203	0.24318	0.03673	0.05687	1.00352	1.32075	
YBR157c	1	0.40731	0.31738	-0.74673	-0.67179	-0.83665	-0.74673	-1.34622	-0.17720	1.50139	1.99597	1.50139	0.27242	0.12254	-1.24131	-0.83665	-0.34207	0.82695	
YNL078w	1	-0.48655	-0.87530	-1.22219	-1.13846	-0.82746	-0.45067	-0.49851	-0.43273	0.37468	2.28254	1.75025	0.90098	0.03975	-0.31909	-0.53440	0.37468	1.06247	
YOR066w	1	-0.17372	0.69214	-0.76126	-1.48797	-0.77673	-1.00865	-0.90042	0.63029	1.15599	1.99093	1.23330	0.72306	-0.65303	-0.88496	-0.76126	0.13552	0.84676	
YMR031c	1	-0.61472	-0.37296	-1.15282	-1.28540	-0.79409	-0.77069	0.03257	0.05597	1.77167	1.25696	-0.10780	-0.17799	-0.31837	-0.63811	-0.29497	1.48312	1.92764	
YBR053c	1	2.00148	0.29635	-1.15513	-1.35242	-1.19741	-1.19036	-1.07058	-0.37302	0.09906	1.12073	1.09254	0.84593	0.47954	-0.30256	-0.02777	-0.28143	1.01504	
YDR511w	1	2.38645	0.30011	-0.75672	-0.72028	-1.08470	-0.46518	-1.52201	-1.13936	-0.30119	1.54827	0.80120	0.30923	-0.51073	0.09968	-0.01876	0.39122	0.68276	
YLR254c	1	-0.23603	0.36908	-0.26515	-0.23603	-1.15825	-1.21326	-0.36223	2.57271	0.62148	0.81563	0.34966	-0.89938	-1.44301	-0.80878	0.29142	0.67649	0.92565	
YDR033w	1	-0.68520	-0.98354	-0.97639	-1.04382	-0.96515	-0.90180	0.15362	-0.15800	-0.48290	2.40136	0.73394	0.11581	-0.66988	0.29870	0.96178	0.72066	1.48081	
YKL163w	1	1.93413	0.02423	-0.94112	-0.58744	-1.45293	-1.26984	-1.04515	-1.00354	-0.64569	1.28502	1.36824	0.40288	0.46114	0.34879	0.18651	0.08249	0.85227	
YBR231c	1	0.89100	-0.36141	1.24546	-0.64497	-0.45593	-1.21210	-0.85764	-0.38504	-0.05421	2.07252	1.03279	0.56018	-0.69223	-0.33778	-0.76312	-1.37751	1.33998	
YDR368w	1	1.56602	-0.19206	-0.22973	-0.74460	-1.04598	-1.19667	-1.64875	-0.94552	0.12188	0.39815	1.22696	2.06832	0.38559	0.33536	-0.54367	-0.05392	0.49861	
YLR050c	1	0.26189	-0.07539	0.59917	-0.21385	-0.86711	-0.88487	-1.33931	-0.77481	-1.42451	1.78143	1.86663	1.02166	0.03822	0.76248	0.57432	-0.47658	-0.84936	
YLR049c	1	-0.98280	-0.69270	0.07105	-0.54469	-0.68086	-0.52100	-0.93544	-0.97688	-0.19538	2.38596	1.98336	1.06569	0.36707	-0.01184	-0.43812	-0.47364	0.58021	
YOR273c	1	-0.09593	-1.07776	-1.28301	-1.30520	-0.95573	-0.78932	-0.48423	0.49761	1.37404	1.72906	-0.01827	-0.09038	-0.50642	-0.21242	0.44213	1.72351	1.05231	
YLR015w	1	0.77305	2.14312	-0.77729	-1.08375	-1.42627	-0.52491	-0.11028	0.77305	1.06148	-1.11981	-1.53443	-0.32661	0.10604	0.14210	0.57475	0.77305	0.55672	
YGR109c	2	-0.37784	0.55571	2.98645	0.43241	-0.75361	-0.69489	-0.55398	-0.88278	-0.78884	0.90212	1.20156	0.34434	-0.26628	-0.24280	-0.56572	-0.74186	-0.55398	
YPR120c	2	-0.52357	0.09400	2.78305	0.54817	-0.25494	-0.38510	-0.78666	-0.52080	-0.81990	1.26267	1.58945	-0.29925	-0.28818	-0.26048	-0.67035	-0.79497	-0.67312	
YDL127w	2	-0.93147	1.26476	1.94147	-0.27322	-0.49469	-0.42702	-0.90687	-1.07297	-0.40856	0.76031	2.18140	0.64342	-0.12557	-0.17479	-0.77768	-0.62388	-0.57466	
YNL289w	2	-1.15003	0.68249	2.27427	1.87184	-0.03614	-0.35953	-0.59309	-0.92725	-1.00990	-0.09363	1.01666	0.68609	0.03572	-0.24095	-0.53560	-0.79430	-0.82664	
YPL256c	2	-1.00453	1.16378	2.76002	0.57880	-0.13536	-0.33466	-0.46384	-0.65207	-1.26658	-0.36603	0.55111	1.17116	0.08424	-0.27746	-0.55795	-0.22394	-1.02668	
YMR199w	2	-1.85329	0.25511	0.95869	0.86692	0.14451	0.17981	-0.51672	-0.86027	-1.44385	0.50689	2.19643	1.06223	0.12333	0.32335	-0.39435	-0.75909	-0.78968	
YJL187c	2	-1.08147	-0.51034	2.07335	1.61100	0.60473	-0.14318	-0.68712	-0.89109	-0.98628	0.15598	1.18946	1.08067	0.35996	-0.26557	-0.53753	-0.91829	-1.05427	
YDL003w	2	-1.13183	0.04638	2.19693	0.90265	-0.19671	-0.53397	-0.77267	-0.93911	-1.08365	0.61577	1.76988	1.11946	0.08580	-0.14634	-0.47265	-0.81866	-0.64128	
YMR076c	2	-1.10268	-0.40790	2.19009	1.40339	0.34636	-0.17540	-0.58362	-0.88100	-1.18378	0.84378	1.24389	0.98977	-0.23488	-0.16189	-0.48630	-0.84315	-0.95669	
YKL042w	2	-1.24551	-0.45519	1.82024	0.47409	-0.26412	-0.11648	-0.83732	-0.92417	-0.92417	0.76069	2.10684	1.07334	0.39593	0.30039	-0.35965	-0.76784	-1.03707	
YFL008w	2	-0.87605	0.05312	2.33024	1.30946	-0.15627	-0.88914	-0.84988	-1.00692	-0.86297	0.38029	1.51885	0.77290	0.40646	0.01386	-0.54888	-0.82371	-0.77136	
YPL241c	2	-1.38305	-0.95091	2.01009	1.36987	-0.10262	-0.29469	-0.48675	-0.87088	-0.82286	0.26550	1.75400	0.47357	0.47357	0.23349	-0.23067	-1.33504	-0.10262	
YMR078c	2	-0.82702	0.33987	2.08454	1.25752	-0.10196	-0.32854	-0.71373	-1.06493	-0.88366	0.52114	1.16689	1.43879	0.44183	-0.71373	-0.72506	-0.88366	-1.00828	
YLR212c	2	-1.64035	-0.33711	1.48408	0.36463	-0.53761	-0.60444	-0.85506	-0.37053	0.14742	0.73221	2.16911	1.43395	0.48159	-0.53761	-0.25357	-0.95531	-0.72140	
YNL225c	2	-2.14185	-0.39895	0.64300	-0.03900	-0.39895	-0.81573	-0.53156	-1.04307	-0.47473	-0.00111	1.13556	2.31013	0.58617	1.09767	0.41567	-0.09584	-0.24739	
YPL209c	2	-0.65282	-0.32055	2.53702	2.00538	0.60982	0.51014	-0.55314	-1.01832	-0.78573	0.01173	0.07818	-0.05473	-0.22087	0.24432	-0.28732	-1.11801	-0.98510	
YJL074c	2	-0.81087	-0.19448	1.72941	0.59002	-0.53069	-0.25051	-0.92294	-0.92294	-0.53069	0.08570	1.87884	1.97223	0.45927	-0.36258	-0.34390	-1.07237	-0.77351	
YNL233w	2	-0.43997	0.66325	2.85098	0.74739	-0.42127	-0.47736	-0.79524	-0.80459	-0.48671	-0.21558	1.25226	1.01852	-0.10339	-0.56151	-0.96353	-0.46801	-0.79524	
YLR313c	2	-0.46611	0.42952	3.01689	1.13856	0.01902	-0.44123	-0.66514	-0.98856	-0.59050	-0.47855	0.84002	0.39220	0.50416	-0.50342	-0.82685	-0.64026	-0.73977	
YGR041w	2	-0.57187	-0.26687	1.10561	-0.38125	-0.68624	-0.26687	-0.87687	-1.18186	-0.80062	0.60999	2.09686	1.82998	1.14374	0.11437	-0.80062	-0.87687	-0.19062	
YGR152c	2	-0.75203	0.33010	2.36030	1.35478	-0.38813	-0.62754	-0.69457	-1.08720	-0.68499	0.38756	1.19198	1.26859	-0.06253	-0.21575	-0.53177	-0.82864	-1.02017	
YDR507c	2	-1.35282	-0.59840	1.70173	0.57178	0.49801	0.00513	-0.91023	-1.06782	-0.88676	0.30354	1.87943	1.58102	-0.03846	0.20295	-0.56152	-0.99741	-0.33017	
YLR286c	2	-0.34287	0.87069	-0.58420	-1.01860	-0.95195	-0.54053	-0.61178	-0.92437	-1.11284	1.05686	2.61748	1.10283	0.29609	0.63855	0.29149	-0.44630	-0.34057	
YIL159w	2	-0.97787	1.22604	2.48542	0.69081	0.31299	0.18705	-0.06482	-0.28521	0.09260	-0.03334	1.13159	0.12409	-0.66302	-0.75748	-0.72599	-1.54459	-1.19826	
YGL027c	2	-0.83742	-1.11775	1.13711	1.51495	0.68614	-0.42301	-0.59365	-0.69116	-1.06900	0.92991	1.40526	1.42964	0.68614	-0.65459	-0.55708	-1.06900	-0.77648	
YML102w	2	-0.55689	0.20787	2.76585	1.05174	-0.26022	-0.62282	-0.81401	-0.85357	-0.56349	1.39456	0.74847	0.34631	-0.41185	-0.04266	-0.78105	-0.68875	-0.91949	
YPR018w	2	0.35913	0.66168	2.98119	0.92543	-0.66487	-0.51748	-0.99069	-0.99844	-0.29251	0.76252	0.72374	-0.23045	-0.09081	-0.65711	-0.68814	-0.74245	-0.54075	
YBL035c	2	-0.65777	0.75872	2.79727	0.09170	-0.28303	-0.54535	-0.64278	-0.89010	-0.74770	0.95358	1.32832	0.50390	-0.05070	-0.14813	-0.67275	-0.88260	-0.91258	
YNL102w	2	-0.67616	-0.18785	2.34156	1.47238	-0.05113	-0.50037	-0.91054	-1.13516	-0.79335	-0.04136	1.47238	0.84735	0.46647	-0.08043	-0.56873	-0.98867	-0.66639	
YBR278w	2	-0.65946	0.45818	3.08894	1.05999	-0.88299	-0.41874	-0.86579	-0.71104	-0.79702	0.49257	0.83646	0.20027	-0.05765	-0.60788	-0.24679	-0.57349	-0.31557	
YPR175w	2	-0.22573	1.00572	2.70592	0.52109	-0.42435	-0.63886	-0.56735	-0.87720	-0.71036	1.08517	1.27585	-0.42435	-0.10655	-0.17011	-0.78186	-1.09171	-0.57530	
YNL262w	2	-0.57025	-0.65111	1.08289	0.81336	-0.07610	-0.68705	-0.90268	-1.11830	-0.58822	1.88251	1.90946	0.84930	0.62469	-0.03118	-0.82181	-1.05541	-0.66009	
YBR088c	2	-0.75935	-0.10443	1.94497	0.91322	0.16157	-0.71301	-0.90444	-1.11402	-1.15432	1.14294	1.52985	1.24370	0.16761	-0.31602	-0.40469	-0.97497	-0.65860	
YLR103c	2	-0.79051	0.14875	2.78991	1.00371	0.33740	-0.34897	-0.58981	-1.02331	-0.88283	0.53007	0.94752	0.80703	0.05242	-0.58981	-0.59382	-0.93501	-0.86276	
YAR007c	2	-0.80204	-0.22714	2.63205	0.36810	-0.56292	-0.84274	-0.75116	-0.98010	-0.76642	0.86159	1.24315	1.04983	0.56651	0.19003	-0.57818	-0.84274	-0.55783	
YNL312w	2	-0.60220	-0.09881	2.22014	1.25863	0.22641	-0.50605	-0.99529	-1.22436	-0.96135	0.35932	1.17096	1.44245	0.17267	-0.20062	-0.61917	-0.75208	-0.89065	
YJL173c	2	-1.23217	-0.91210	1.38471	1.66329	1.18615	-0.18008	-0.91506	-1.28848	-0.94174	1.10613	0.55193	1.16540	-0.30752	0.39486	-0.36976	-0.56239	-0.74317	
YER070w	2	-1.11867	0.92995	2.48092	0.70770	-0.14751	-0.54370	-0.90125	-1.06069	-1.08002	0.11823	0.98310	1.03625	0.61106	0.01677	-0.64034	-0.70798	-0.68382	
YOR074c	2	-0.89594	0.36829	1.78302	1.39171	0.30809	-0.29392	-0.86584	-0.86584	-0.83574	-0.56483	1.06061	1.30141	1.27131	-0.32402	-0.83574	-1.04644	-0.95614	
YDL164c	2	-0.84522	-0.13440	2.20624	0.59673	-0.58628	-0.71321	-0.84522	-1.06862	-0.81984	1.24155	1.81528	0.77444	0.07377	0.18039	-0.57105	-0.72844	-0.57612	
YKL045w	2	-0.96175	-0.02982	3.11415	1.29126	-0.51626	-0.03494	-0.48042	-0.92078	-0.63404	-0.39337	-0.06566	0.61024	0.20572	0.58464	-0.57771	-0.56747	-0.62379	
YBR252w/	2	-1.62110	0.12327	1.94033	0.57148	-0.07660	-1.01541	-0.04632	-0.91850	-1.42122	1.86764	0.75319	0.46851	-0.84582	0.13539	0.42612	-0.40973	0.06876	
YLR032w	2	0.26530	0.03589	2.56848	0.54058	-0.26692	-0.65690	-0.73031	-0.45502	-0.95053	0.90303	1.74723	0.36623	-0.63854	-0.09716	-0.55137	-1.09276	-0.98723	
YML060w	2	-0.55579	0.35126	2.75925	1.26910	0.45924	-0.02668	-0.32903	-0.60978	-0.80415	-0.31823	0.86957	0.54563	0.12450	-0.55579	-0.73936	-1.18208	-1.25767	
YDR097c	2	-0.73086	-0.59109	2.23369	0.90222	0.01212	-0.47339	-0.73086	-0.92212	-0.86327	0.43142	1.57163	1.51278	0.17395	-0.16443	-0.62787	-1.03982	-0.69408	
YNL082w	2	-0.79613	-0.04694	0.97911	-0.01437	-0.63326	-1.07300	-1.25215	-1.33358	-0.51925	0.94654	2.07031	1.85859	0.47423	0.22993	-0.47040	-0.29124	-0.12838	
YOL090w	2	-0.70334	-0.27324	1.06007	0.33965	-0.23023	-0.85387	-0.75710	-1.16569	-0.81086	0.10310	2.21058	1.93101	0.52244	0.50094	-0.12270	-1.12268	-0.62807	
YLR383w	2	-0.25831	-0.40997	2.66265	1.21206	0.68457	-0.42315	-0.33744	-1.16164	-0.94405	0.05159	0.80326	0.95491	-0.28469	0.01202	-0.35722	-1.04955	-1.15504	
YKL113c	2	-0.95856	-0.16308	2.26669	1.53028	0.32524	-0.60020	-0.87587	-0.99401	-0.71047	0.60484	0.77023	1.25855	0.36462	-0.35604	-0.71441	-0.93887	-0.80892	
YLR234w	2	-0.42083	-0.96851	2.83101	0.98260	-0.35237	-0.79736	-0.72890	-0.93428	-0.52352	1.01683	0.33223	0.87991	0.57184	-0.42083	-0.38660	-0.14699	-0.93428	
YPL153c	2	-0.50845	0.33675	2.99632	0.82134	-0.15910	-0.33941	-0.90287	-0.91414	-0.76764	0.07756	0.88895	0.87768	0.13391	-0.23798	-0.47464	-1.08318	-0.74510	
YDL101c	2	-1.79616	-0.83620	1.98238	0.96115	-0.10092	-0.09071	-0.13156	-0.43793	-0.87705	-0.51962	1.82920	0.66500	0.41990	0.33821	-0.15198	0.10332	-1.35703	
YHR038W	2	1.32204	0.50071	-0.61929	-1.57129	-1.08596	-1.42196	-0.63796	-0.63796	0.70604	1.41537	1.73270	0.76204	-0.74996	0.07137	0.59404	-0.02196	-0.35796	
YML021C	2	-0.85912	0.05225	1.63273	1.69041	-0.21308	-0.54764	-0.82451	-0.68607	-1.15906	0.16762	1.70195	1.17128	0.27144	0.13301	-0.35152	-1.02063	-1.15906	
YML061c	2	0.01725	0.17391	2.60813	1.23034	0.12972	0.06947	-0.56921	-0.58528	-1.25208	-0.25992	1.01343	0.04135	-0.30812	0.64790	-0.22376	-1.34045	-1.39267	
YMR179w	2	-0.73393	0.17702	2.03346	0.00111	-1.01350	-0.21249	-0.44180	-0.79047	-0.76534	0.86808	2.51721	0.59165	-0.25019	-0.04601	-0.47321	-0.83131	-0.63027	
YML027w	2	-1.13943	0.83846	2.34284	0.21885	-0.42241	-0.10584	-0.59558	-0.89050	-1.05826	0.73564	1.87746	0.50024	-0.15454	0.01592	-0.45759	-0.83098	-0.87427	
YPL127c	2	-1.56555	-1.35378	1.26035	1.30998	1.36954	0.82025	-0.41402	-0.82102	-1.31738	-0.80448	-0.00701	1.04857	0.36029	0.68789	0.10219	0.25110	-0.92691	
YGL089c	2	-1.12876	0.04777	-0.33749	-0.86204	-1.18803	-0.91835	-1.19692	-1.10801	-0.61014	1.04351	1.26874	1.00795	0.13667	0.39154	0.69382	0.93090	1.82885	
YPL187w	2	-0.14428	0.03157	0.43816	-0.50920	-1.08859	-0.93713	-1.13331	-0.68200	-0.21747	3.18468	0.84374	-0.12700	-0.28659	-0.16664	-0.25813	0.34363	0.70854	
YDL227c	2	-0.95899	-0.66293	1.50320	-0.01161	-0.80602	-0.57905	-0.62839	-0.72708	-0.79122	0.56076	2.45058	1.57722	0.35352	0.26964	-0.37674	-0.66293	-0.50997	
YNL173c	2	1.90950	-0.16517	-1.47079	-1.16674	-0.57653	-0.71961	-0.93424	-1.13097	-0.14729	0.74697	1.65911	1.37295	0.28195	-0.11152	-0.27249	0.08522	0.63966	
YLL021w	2	-1.67799	-0.89402	1.68061	0.96791	1.64498	0.80755	0.37993	-1.01874	-1.08110	-0.47531	0.49575	0.21957	0.70956	0.18394	-0.06551	-0.72475	-1.15237	
YLR382c	2	1.03528	0.61465	2.09790	-0.42583	-0.55866	-0.29300	-0.42583	-1.13425	-1.11211	-0.31514	1.41162	1.01314	0.65893	-1.75411	-0.27086	-0.18231	-0.35942	
YJL196c	2	-0.07174	-0.06536	2.16952	0.89245	-1.15087	-1.17641	-1.52122	-1.45098	-0.78690	0.50294	1.46075	0.22837	0.16452	0.06874	0.01127	0.30500	0.41993	
YJR148w	2	-0.02906	-0.14401	0.64202	-0.56343	-1.19101	-1.68189	-1.56694	-1.06674	0.01444	2.10844	0.53328	0.98998	0.39036	0.02065	0.02376	0.31891	1.20125	
