	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDL181w	1	5.41610	5.27811	5.30827	4.93447	5.25227	5.76832	5.65249	5.12990	5.67675	6.66950	6.02345	5.97126	5.64191	5.79606	5.77144	6.03548	6.43935
YGR183c	1	6.44095	6.02587	5.98141	6.28227	6.30628	6.21860	6.47389	6.51619	6.59578	7.21964	6.82437	6.47697	6.25767	6.34564	6.71417	6.53814	6.66441
YLR258w	1	6.04737	5.15329	4.85981	5.10595	5.22036	5.47227	5.48894	5.46383	5.17048	5.81413	6.24998	5.96358	5.75257	5.85507	5.67332	5.50939	5.52545
YML110c	1	6.88141	6.88755	6.73697	6.30445	5.74939	6.07535	6.41182	6.41182	6.73697	7.26962	7.13489	6.88449	6.72503	6.67834	6.76849	6.83841	6.87730
YLR273c	1	5.07517	4.85203	4.71850	4.38203	4.27667	4.31749	4.15888	4.36945	4.97673	5.31321	5.15906	4.53260	4.36945	3.49651	4.26268	4.17439	4.70048
YCR005c	1	6.08450	5.52146	5.01064	5.14749	4.99043	4.96284	5.44674	6.21461	6.36990	6.22654	6.24804	6.48464	6.44413	6.07764	6.04973	5.63835	5.72685
YCL040w	1	6.70073	5.71043	5.11799	5.43372	5.69373	5.33754	5.21494	5.64545	5.85793	6.49072	6.71296	6.52503	6.17379	6.28972	6.23832	6.18208	6.74993
YMR256c	1	6.64509	6.40688	6.27476	6.43294	6.71174	6.62936	6.67960	6.64379	6.90174	7.18539	7.07496	6.71417	6.76273	7.02643	6.97073	6.92461	7.21671
YIL009w	1	5.11199	5.47227	4.94876	4.53260	4.47734	4.69135	4.41884	4.44265	5.31812	5.78690	5.81711	5.64191	5.38450	5.15906	4.88280	5.12990	5.64897
YLL040c	1	5.59842	5.71373	4.58497	4.81218	5.17048	5.42495	5.34233	5.21494	5.57215	5.96101	5.74620	5.61677	5.64191	5.24175	5.39363	5.55683	5.42495
YNR016c	1	6.97915	7.32449	7.57866	7.38956	7.55066	7.09174	7.06561	6.91870	6.83733	7.44073	7.28893	7.16007	6.86901	7.03791	6.95273	7.12125	7.06133
YBR067c	1	7.40792	7.37776	7.06476	6.72503	6.29157	6.00141	5.94803	6.24028	6.33328	6.39024	6.10032	5.86079	5.67332	5.63479	5.95064	6.09357	6.69084
YPL058c	1	4.91998	3.43399	3.73767	4.15888	4.34381	4.93447	5.43808	6.07764	6.32077	5.92693	5.79301	5.41610	5.80212	5.56068	5.79909	5.65948	6.12249
YGL055w	1	6.44889	6.75344	7.21598	7.09257	6.81344	6.15698	5.73334	5.46806	5.59471	6.34388	6.22654	5.89715	5.80814	5.72359	6.13773	6.09807	6.43935
YGR281W	1	5.15906	4.96981	4.80402	4.75359	4.78749	5.12396	5.41165	5.35659	5.56068	5.73010	5.68358	5.48894	5.37528	5.24175	5.40268	5.40717	5.61677
YBR083w	1	5.37064	5.36598	5.59842	5.57973	5.73334	5.78996	5.57595	5.56068	6.06146	7.06390	6.75460	6.27099	6.05912	6.13340	6.13773	6.51323	6.76388
YBR054w	1	6.63068	6.28040	5.79909	4.95583	4.54329	4.07754	5.15329	6.32972	6.56244	7.04054	6.62672	6.15273	5.78383	5.20401	5.58350	5.99645	6.47697
YKL116c	1	4.94876	5.08140	5.05625	4.79579	5.06260	4.85981	4.57471	4.93447	5.54518	6.03309	5.62762	5.55296	5.28320	5.02388	5.06890	5.14749	5.49717
YPR002w	1	4.84419	4.00733	4.06044	4.27667	3.97029	3.66356	3.61092	4.31749	4.83628	5.05625	4.70953	4.53260	4.43082	3.82864	3.93183	3.58352	3.76120
YNR067c	1	5.03044	4.52179	3.80666	4.12713	4.85203	5.50939	4.91265	4.69135	5.61677	6.88141	6.78333	6.34212	5.95324	5.74939	5.45959	5.57215	5.97889
YBR158w	1	6.08904	6.43615	5.83188	5.92959	6.35089	6.50129	6.61070	6.40688	6.58064	7.47817	7.36265	7.00307	6.61874	6.63332	6.59851	6.59715	6.98008
YDL117w	1	5.37990	5.70378	5.66296	5.35659	5.38907	5.81114	5.84644	5.52146	6.01127	6.49979	6.31173	5.93225	5.80814	5.64191	5.66296	5.90536	6.00141
YGR035c	1	4.85203	4.45435	4.33073	4.89035	5.37990	5.52545	5.83773	6.17794	6.38688	6.04973	5.69373	5.38450	5.37528	5.48894	5.75574	5.82305	5.88053
YHL026c	1	4.49981	4.65396	4.17439	3.71357	4.15888	4.14313	4.49981	4.95583	5.42935	5.04343	4.52179	4.17439	3.52636	4.04305	4.30407	4.58497	4.76217
YMR007w	1	5.05625	5.46383	4.96981	5.14166	5.23644	4.90527	4.96284	5.36598	5.58725	6.02828	5.43808	5.06890	4.82831	5.22036	5.11799	5.34233	5.12396
YMR254c	1	3.93183	3.63759	3.21888	3.55535	3.76120	3.40120	4.18965	4.36945	4.92725	4.45435	4.09434	3.87120	3.82864	4.14313	4.04305	4.18965	4.46591
YNL046w	1	6.17379	5.83188	5.82305	6.04973	6.04025	6.21661	5.98645	5.85220	6.32257	7.36455	7.11477	6.89669	6.44731	6.36303	6.19848	6.45047	6.71052
YOR264w	1	4.51086	4.24850	3.63759	4.12713	4.65396	4.96284	4.40672	4.21951	5.25227	6.45047	6.04737	5.55296	5.21494	5.06890	4.76217	4.74493	5.55683
YPL066w	1	4.62497	4.45435	5.10595	4.98361	4.81218	5.07517	4.98361	5.01064	5.09987	5.59471	5.65599	5.34711	5.20401	5.02388	5.01728	4.82028	5.23111
YBR052c	1	6.69208	5.95584	5.52943	5.59471	5.73010	5.54126	5.61313	5.92158	6.14633	6.77194	6.50429	6.49828	6.30628	6.21261	6.31355	6.18621	6.84375
YPL158c	1	5.38450	5.00395	4.70048	4.89784	5.15329	5.33754	4.80402	4.84419	5.69709	6.42162	6.02345	5.28320	5.28827	4.99043	4.88280	4.74493	5.97889
YHR022c	1	5.01064	4.33073	3.91202	3.66356	3.40120	3.66356	3.85015	4.04305	4.38203	4.79579	4.63473	4.52179	4.65396	4.26268	4.15888	4.44265	4.77912
YPL004c	1	5.97381	5.14749	4.94164	5.51745	5.73979	5.81114	5.70711	5.88888	6.31716	6.75460	6.44889	6.41510	6.21860	6.13340	6.14204	6.48158	6.57368
YBR157c	1	5.15906	5.12396	4.57471	4.62497	4.51086	4.57471	4.04305	4.90527	5.50939	5.63479	5.50939	5.10595	5.04343	4.15888	4.51086	4.82028	5.30827
YNL078w	1	5.42053	5.08140	4.63473	4.76217	5.12990	5.44674	5.41165	5.45959	5.91350	6.53524	6.39693	6.12687	5.74939	5.53733	5.38450	5.91350	6.18415
YOR066w	1	5.06260	5.36598	4.78749	4.29046	4.77912	4.64439	4.70953	5.34711	5.49717	5.69709	5.51745	5.37528	4.84419	4.71850	4.78749	5.18178	5.41165
YMR031c	1	4.84419	5.06260	4.06044	3.71357	4.64439	4.67283	5.34711	5.36129	6.07074	5.90536	5.25750	5.20949	5.10595	4.82028	5.12396	5.98141	6.11589
YBR053c	1	6.35437	5.80814	4.84419	4.59512	4.79579	4.80402	4.93447	5.47227	5.72031	6.10925	6.10032	6.01859	5.88332	5.51343	5.65948	5.52545	6.07535
YDR511w	1	6.32972	5.80513	5.37528	5.39363	5.19296	5.51343	4.88280	5.15906	5.58350	6.15060	5.95842	5.80814	5.49306	5.73657	5.69373	5.83481	5.92426
YLR254c	1	6.62804	6.84907	6.61607	6.62804	6.15486	6.11810	6.57508	7.39265	6.92854	6.98564	6.84268	6.31173	5.94803	6.36130	6.82329	6.94505	7.01661
YDR033w	1	7.12850	6.86171	6.86901	6.79794	6.88038	6.94216	7.63434	7.47477	7.27586	8.35890	7.87702	7.61628	7.14045	7.70075	7.95823	7.87207	8.12178
YKL163w	1	6.98008	6.42325	5.95064	6.15060	5.56452	5.72031	5.88332	5.91080	6.12030	6.82329	6.84482	6.56103	6.58064	6.54247	6.48464	6.44572	6.70319
YBR231c	1	5.41610	5.14749	5.48064	5.07517	5.12396	4.91265	5.01728	5.14166	5.22036	5.61677	5.44242	5.35186	5.06260	5.15329	5.04343	4.85981	5.49717
YDR368w	1	6.01616	5.59842	5.58725	5.42053	5.30827	5.24702	5.03695	5.34711	5.68698	5.75890	5.94803	6.10925	5.75574	5.74300	5.48894	5.63835	5.78383
YLR050c	1	7.05445	6.96885	7.13330	6.93147	6.73340	6.72743	6.56103	6.76388	6.52649	7.36897	7.38399	7.22402	6.99851	7.16935	7.12769	6.85646	6.73934
YLR049c	1	4.58497	4.99043	5.62040	5.14749	5.00395	5.17048	4.66344	4.59512	5.44242	6.50279	6.39526	6.09582	5.78690	5.56834	5.24702	5.21494	5.89164
YOR273c	1	5.79301	5.01728	4.73620	4.70048	5.15329	5.31321	5.55296	6.07535	6.38519	6.48768	5.83481	5.79606	5.53733	5.72685	6.05209	6.48616	6.28227
YLR015w	1	5.90263	6.09131	5.63479	5.57215	5.49717	5.68358	5.75890	5.90263	5.94542	5.56452	5.47227	5.72031	5.79606	5.80212	5.87212	5.90263	5.86930
YGR109c	2	5.15906	5.80814	6.61607	5.74300	4.70048	4.78749	4.96981	4.47734	4.64439	5.97126	6.09357	5.69373	5.26269	5.28320	4.95583	4.71850	4.96981
YPR120c	2	6.33150	6.66568	7.47079	6.85541	6.49072	6.41673	6.14633	6.33328	6.12030	7.09589	7.18917	6.46614	6.47235	6.48768	6.23245	6.13988	6.23048
YDL127w	2	5.03044	6.23441	6.42972	5.56068	5.41165	5.45959	5.05625	4.86753	5.47227	6.05912	6.49072	6.01372	5.64897	5.62040	5.18178	5.31321	5.35186
YNL289w	2	3.93183	6.32972	6.91175	6.79347	5.88888	5.60212	5.32788	4.72739	4.49981	5.84354	6.48311	6.33150	5.94280	5.71703	5.40268	5.01064	4.94876
YPL256c	2	6.09807	7.39018	7.81803	7.17242	6.82002	6.69456	6.60394	6.45520	5.71373	6.67330	7.16085	7.39265	6.94216	6.73221	6.53233	6.76619	6.07074
YMR199w	2	5.00395	6.95177	7.20341	7.17396	6.90575	6.92067	6.57508	6.34739	5.77765	7.04925	7.53369	7.23562	6.89669	6.97915	6.64509	6.41999	6.39859
YJL187c	2	4.11087	4.63473	5.68017	5.55683	5.22036	4.86753	4.49981	4.31749	4.21951	5.02388	5.42935	5.39363	5.11799	4.79579	4.61512	4.29046	4.14313
YDL003w	2	5.33272	6.61338	7.45414	7.03527	6.45205	6.17379	5.91620	5.68698	5.43372	6.91274	7.33433	7.11883	6.63726	6.48768	6.23048	5.85793	6.06611
YMR076c	2	5.66988	6.30445	7.31854	7.10414	6.71659	6.45047	6.17794	5.91889	5.56068	6.91771	7.05445	6.96979	6.41510	6.45834	6.24998	5.95584	5.84064
YKL042w	2	4.48864	5.19296	6.09131	5.65948	5.30827	5.38907	4.91265	4.83628	4.83628	5.76832	6.16331	5.87493	5.62762	5.58725	5.25227	4.96981	4.72739
YFL008w	2	4.74493	5.22575	5.88610	5.64191	5.13580	4.73620	4.76217	4.65396	4.75359	5.35186	5.69709	5.48480	5.36129	5.20949	4.94164	4.77912	4.81218
YPL241c	2	3.98898	4.39445	5.58350	5.42053	4.89784	4.80402	4.70048	4.45435	4.48864	5.05625	5.52146	5.13580	5.13580	5.04343	4.83628	4.04305	4.89784
YMR078c	2	4.93447	5.48894	5.98141	5.77765	5.31321	5.20949	5.00395	4.77068	4.89784	5.55296	5.75257	5.82600	5.52545	5.00395	4.99721	4.89784	4.81218
YLR212c	2	4.09434	4.92725	5.50939	5.19296	4.83628	4.80402	4.67283	4.91265	5.11799	5.30827	5.66296	5.49717	5.23111	4.83628	4.96284	4.61512	4.74493
YNL225c	2	4.38203	5.14749	5.42495	5.25227	5.14749	5.01064	5.10595	4.92725	5.12396	5.26269	5.53339	5.75257	5.41165	5.52545	5.37064	5.23644	5.19296
YPL209c	2	3.87120	4.06044	4.96981	4.85203	4.45435	4.41884	3.93183	3.61092	3.78419	4.21951	4.24850	4.18965	4.11087	4.31749	4.07754	3.52636	3.63759
YJL074c	2	3.97029	4.45435	5.24175	4.85203	4.21951	4.41884	3.85015	3.85015	4.21951	4.61512	5.28320	5.30827	4.79579	4.34381	4.35671	3.66356	4.00733
YNL233w	2	5.33754	5.78690	6.32794	5.81413	5.34711	5.31812	5.13580	5.12990	5.31321	5.44674	5.96358	5.89715	5.49717	5.27300	5.02388	5.32301	5.13580
YLR313c	2	4.21951	4.94164	5.85220	5.28320	4.67283	4.24850	3.95124	3.25810	4.06044	4.20469	5.15329	4.91998	4.98361	4.17439	3.66356	3.98898	3.82864
YGR041w	2	3.87120	4.02535	4.52179	3.97029	3.80666	4.02535	3.68888	3.46574	3.73767	4.36945	4.77068	4.70953	4.53260	4.18965	3.73767	3.68888	4.06044
YGR152c	2	5.09987	5.62402	6.19236	5.95064	5.30827	5.17615	5.13580	4.85981	5.14166	5.64545	5.90536	5.92693	5.46383	5.39363	5.23111	5.04986	4.91265
YDR507c	2	5.68017	6.24998	7.09340	6.76504	6.73934	6.54822	6.05209	5.93489	6.06843	6.66823	7.13648	7.06305	6.52942	6.62936	6.27099	5.98896	6.39359
YLR286c	2	6.31355	6.98472	6.10256	5.55296	5.65948	6.14419	6.07535	5.70044	5.37990	7.05704	7.51752	7.07412	6.72143	6.88653	6.71901	6.22851	6.31536
YIL159w	2	4.23411	4.93447	5.18739	4.80402	4.70048	4.66344	4.58497	4.51086	4.63473	4.59512	4.91265	4.64439	4.36945	4.33073	4.34381	3.93183	4.12713
YGL027c	2	5.58725	5.49717	6.06146	6.13123	5.97126	5.70711	5.65948	5.63121	5.51343	6.02102	6.11147	6.11589	5.97126	5.64191	5.66988	5.51343	5.60580
YML102w	2	5.24702	5.72359	6.54247	6.07304	5.45959	5.19296	5.01728	4.97673	5.24175	6.18621	5.96101	5.78996	5.35659	5.59099	5.04986	5.13580	4.90527
YPR018w	2	5.36129	5.52943	6.31173	5.65599	4.39445	4.60517	3.66356	3.63759	4.85981	5.57973	5.56068	4.91998	5.04343	4.40672	4.35671	4.26268	4.57471
YBL035c	2	4.89784	5.77765	6.38856	5.45532	5.21494	5.00395	4.91265	4.63473	4.80402	5.85507	5.98896	5.66643	5.37064	5.30827	4.88280	4.64439	4.60517
YNL102w	2	4.59512	5.00395	6.01127	5.76519	5.09375	4.76217	4.31749	3.95124	4.46591	5.09987	5.76519	5.54126	5.37528	5.07517	4.70048	4.20469	4.60517
YBR278w	2	5.48894	5.72685	6.13123	5.83481	5.43372	5.54518	5.43808	5.47646	5.45532	5.73334	5.79606	5.67675	5.62402	5.50126	5.58350	5.50939	5.56834
YPR175w	2	5.36129	5.90808	6.36647	5.72685	5.23644	5.08140	5.13580	4.87520	5.02388	5.93489	5.99645	5.23644	5.42935	5.39363	4.96284	4.64439	5.12990
YNL262w	2	5.65948	5.62762	6.15486	6.08904	5.83481	5.61313	5.52146	5.42053	5.65249	6.32794	6.33328	6.09807	6.04025	5.84932	5.55683	5.45104	5.62402
YBR088c	2	6.43294	6.85330	7.58274	7.28070	6.98379	6.46925	6.30992	6.10032	6.05444	7.35628	7.47193	7.38771	6.98657	6.73578	6.68211	6.24417	6.51026
YLR103c	2	5.37528	6.10925	7.01031	6.49677	6.20859	5.78690	5.58350	5.06260	5.26269	6.30079	6.47543	6.41999	6.05444	5.58350	5.57973	5.19296	5.28827
YAR007c	2	5.26269	5.72359	6.76619	6.04737	5.48064	5.22036	5.31321	5.06260	5.29832	6.25383	6.38856	6.32257	6.13556	5.96101	5.46806	5.22036	5.48480
YNL312w	2	6.33505	6.60935	7.35372	7.10824	6.75344	6.39359	6.05209	5.84064	6.07993	6.80683	7.08255	7.16007	6.73102	6.55962	6.32436	6.23637	6.13556
YJL173c	2	6.50129	6.65157	7.34536	7.40428	7.30115	6.92854	6.65028	6.47235	6.63857	7.28276	7.14520	7.29641	6.88551	7.10250	6.86380	6.79347	6.72263
YER070w	2	4.35671	6.21860	6.71296	6.12249	5.63121	5.28320	4.81218	4.49981	4.45435	5.81114	6.24028	6.26149	6.07764	5.74620	5.17615	5.09375	5.12396
YOR074c	2	2.83321	4.07754	4.66344	4.53260	4.04305	3.61092	2.89037	2.89037	2.94444	3.33220	4.40672	4.49981	4.48864	3.58352	2.94444	2.48491	2.70805
YDL164c	2	5.37528	5.87493	6.70564	6.21461	5.58725	5.48894	5.37528	5.14749	5.39816	6.44095	6.60665	6.28227	5.98394	6.03548	5.59842	5.47646	5.59471
YKL045w	2	5.68017	6.16331	6.99302	6.59715	5.94017	6.16121	5.95842	5.70711	5.87774	6.00141	6.14847	6.39693	6.25575	6.38856	5.90808	5.91350	5.88332
YBR252w/	2	6.37673	6.77537	7.06987	6.85646	6.73697	6.53379	6.74288	6.55678	6.43133	7.05962	6.88755	6.83841	6.57368	6.77765	6.83087	6.66950	6.76504
YLR032w	2	6.43775	6.35437	7.02731	6.52942	6.23245	6.04973	6.01127	6.14847	5.88610	6.63857	6.85435	6.47235	6.05912	6.30262	6.10256	5.79606	5.86363
YML060w	2	4.77068	5.30827	6.05209	5.65948	5.35659	5.11799	4.93447	4.72739	4.55388	4.94164	5.52146	5.39363	5.19850	4.77068	4.61512	4.09434	3.97029
YDR097c	2	4.89784	5.03044	6.28600	5.87493	5.45959	5.12990	4.89784	4.68213	4.75359	5.67675	6.10256	6.08450	5.54908	5.35186	4.99721	4.52179	4.93447
YNL082w	2	4.15888	4.70048	5.15329	4.71850	4.30407	3.85015	3.58352	3.43399	4.39445	5.14166	5.48064	5.42495	4.95583	4.84419	4.43082	4.55388	4.65396
YOL090w	2	4.90527	5.16479	5.70044	5.44674	5.18739	4.79579	4.86753	4.52179	4.82831	5.34711	6.00635	5.94017	5.51745	5.50939	5.24175	4.56435	4.95583
YLR383w	2	5.60947	5.52146	6.57368	6.20658	6.03069	5.51343	5.56452	4.91265	5.12990	5.76832	6.07304	6.12468	5.59471	5.74939	5.55296	5.03044	4.91998
YKL113c	2	5.23644	5.96615	6.91473	6.70930	6.24222	5.63121	5.34233	5.18739	5.52545	6.37161	6.44095	6.62141	6.26149	5.83188	5.52146	5.26269	5.42053
YLR234w	2	4.23411	3.97029	5.09987	4.70048	4.26268	4.06044	4.09434	3.98898	4.18965	4.70953	4.51086	4.67283	4.58497	4.23411	4.24850	4.34381	3.98898
YPL153c	2	4.27667	4.99043	5.94803	5.24702	4.63473	4.46591	3.61092	3.58352	3.89182	4.82028	5.27811	5.27300	4.85981	4.56435	4.31749	3.04452	3.93183
YDL101c	2	5.52146	5.84064	6.42972	6.25383	6.03069	6.03309	6.02345	5.94803	5.82895	5.92693	6.40523	6.19644	6.14633	6.12905	6.01859	6.07764	5.68017
YHR038W	2	5.73979	5.58725	5.33272	5.04986	5.20401	5.09987	5.32788	5.32788	5.62762	5.75574	5.80814	5.63835	5.29832	5.49717	5.60580	5.47646	5.39816
YML021C	2	5.22575	5.57973	5.99645	6.00881	5.48894	5.36129	5.24175	5.30330	5.07517	5.61677	6.01127	5.89164	5.64897	5.60580	5.43808	5.14749	5.07517
YML061c	2	6.59441	6.64639	7.22694	6.94022	6.63200	6.61204	6.37161	6.36475	6.02828	6.49527	6.88653	6.60259	6.47697	6.78897	6.50877	5.97381	5.94017
YMR179w	2	5.57973	6.31897	7.04403	6.21261	5.17048	6.06611	5.88053	5.50939	5.54126	6.65286	7.17012	6.53233	6.03787	6.18208	5.85220	5.45532	5.69709
YML027w	2	4.97673	6.77537	7.26683	6.47235	6.01616	6.26720	5.84644	5.46806	5.16479	6.73102	7.13887	6.62141	6.23245	6.34914	5.98394	5.55683	5.49306
YPL127c	2	5.28827	5.56834	6.95845	6.97261	6.98934	6.82329	6.30262	6.04737	5.60947	6.05912	6.50578	6.89568	6.65929	6.77878	6.55393	6.61607	5.96871
YGL089c	2	4.99043	6.29895	6.02587	5.46806	4.84419	5.38450	4.82028	5.03695	5.77455	6.77992	6.86276	6.76619	6.35263	6.49224	6.63595	6.73578	7.04316
YPL187w	2	7.29029	7.40184	7.62021	7.00941	6.28600	6.53088	6.20051	6.84268	7.23993	8.46400	7.79893	7.30182	7.18992	7.27517	7.21082	7.57353	7.74284
YDL227c	2	2.99573	4.38203	6.25190	5.35659	3.93183	4.57471	4.46591	4.20469	3.98898	5.79301	6.56667	6.28040	5.65599	5.59471	4.92725	4.38203	4.70953
YNL173c	2	5.36129	4.57471	3.17805	3.71357	4.30407	4.18965	3.98898	3.76120	4.58497	4.99721	5.29330	5.20949	4.80402	4.60517	4.51086	4.70953	4.95583
YLL021w	2	5.20401	5.59842	6.32615	6.17170	6.31897	6.13340	6.02345	5.54518	5.51745	5.75890	6.05444	5.97889	6.10925	5.96871	5.89440	5.66643	5.48480
YLR382c	2	5.20401	5.09375	5.43808	4.75359	4.70048	4.80402	4.75359	4.43082	4.44265	4.79579	5.29330	5.19850	5.10595	4.02535	4.81218	4.84419	4.77912
YJL196c	2	6.13773	6.13988	6.70196	6.41999	5.68358	5.66988	5.46383	5.50939	5.86079	6.31536	6.55536	6.23441	6.21461	6.18415	6.16542	6.25767	6.29157
YJR148w	2	6.85646	6.81674	7.06133	6.65673	6.35611	6.03548	6.12030	6.42325	6.87109	7.40123	7.03086	7.15305	6.98934	6.87316	6.87420	6.96791	7.20489
YOR317w	2	5.98645	5.22036	5.12990	5.35659	5.22575	5.29832	5.29330	5.58350	5.96101	6.16121	6.26720	6.12905	6.00881	5.94542	5.92426	5.92959	6.06379
YKL165c	2	5.94280	6.03309	6.23048	6.12905	5.75574	5.45959	5.39363	5.05625	5.38907	5.75574	6.08450	6.10702	5.98896	5.80513	5.65599	5.63835	5.67675
YLL002w	2	4.52179	4.94876	5.97381	5.59099	5.18739	5.07517	4.36945	4.95583	5.19296	5.73657	5.81114	5.89715	5.42495	5.10595	5.12990	4.99721	4.95583
YPL124w	2	4.77068	4.58497	6.13556	5.65599	5.68698	5.69373	5.24175	4.88280	4.89035	5.56834	5.98645	5.97381	5.70044	5.64191	5.23644	4.86753	5.20401
YKL101w	2	5.32301	5.76205	6.92166	6.82329	6.71659	6.38856	6.28040	5.77765	5.86647	6.56244	6.98472	7.11883	6.90975	6.51323	6.44095	6.13340	6.22059
YLR457c	2	5.41610	5.45104	5.92158	5.24175	4.75359	5.06260	5.18178	4.86753	5.07517	5.09987	5.57973	5.51343	5.24702	4.56435	4.94164	4.94164	5.11199
YDR297w	2	5.73334	6.45205	6.91274	7.18083	7.10250	6.92067	6.68835	6.63857	6.56244	6.23245	6.88346	6.81892	6.48464	6.69208	6.48311	6.42811	6.49224
YBR070c	2	5.42053	6.05678	6.86693	6.30079	5.54908	5.38450	4.97673	4.70953	5.17615	5.87774	5.84354	5.94280	5.67675	5.33754	5.20401	4.99721	5.09987
YLR233c	2	5.14749	5.11199	5.93225	5.42495	5.05625	5.20401	4.97673	5.08140	4.99721	5.24175	5.58350	5.30330	5.18739	5.30330	5.09987	4.76217	4.94876
YPL057C/	2	5.06260	5.22036	5.34233	5.73979	5.60212	5.43372	5.23111	5.19850	5.45532	5.71703	5.84354	5.76205	5.67332	5.19296	5.06890	4.81218	5.42495
YBR073w	2	6.75460	6.88244	7.51371	7.04665	7.30854	6.70686	6.86276	6.62672	6.57925	7.14204	7.28482	7.28756	6.88038	6.76849	6.69084	6.57508	6.61338
YGL200c	2	5.87212	6.03309	6.46770	6.22059	6.22258	6.03309	5.82600	5.78996	5.90808	6.36303	6.30810	6.39359	6.26720	6.30262	6.15486	6.32436	6.12687
YHR153c	2	2.63906	3.40120	4.68213	4.07754	2.99573	3.40120	3.09104	2.48491	2.94444	3.91202	4.61512	4.74493	4.04305	3.58352	3.46574	2.94444	3.13549
YNL272C	2	5.19296	5.12396	5.82008	5.71043	5.42935	5.36598	5.45104	5.18178	5.54518	5.56068	5.92693	5.75574	5.82008	5.73657	5.56452	5.36129	5.44242
YOR316C	2	5.79301	5.42495	5.52146	5.51745	5.54126	5.66296	5.69709	5.64191	5.75574	6.23048	6.03069	6.06611	5.59099	5.61313	5.87212	5.88610	5.93754
YKR077w	2	4.87520	6.24222	6.27664	5.45104	5.31321	5.65948	5.05625	4.90527	5.28827	6.76734	6.79571	6.20051	5.82008	5.81413	5.47646	5.29330	5.65599
