	Main Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YBR067c	1	1649	1600	1170	833	540	404	383	513	563	596	446	351	291	280	384	443	805
YPL058c	1	137	31	42	64	77	139	230	436	556	375	328	225	331	260	330	287	456
YGL055w	1	632	857	1361	1203	910	472	309	237	269	569	506	364	333	306	463	445	626
YGR281W	1	174	144	122	116	120	168	224	212	260	308	294	242	216	189	222	223	275
YBR083w	1	215	214	270	265	309	327	264	260	429	1169	858	529	428	461	463	674	866
YBR054w	1	758	534	330	142	94	59	173	561	708	1142	755	470	325	182	266	402	650
YKL116c	1	141	161	157	121	158	129	97	139	256	417	278	258	197	152	159	172	244
YPR002w	1	127	55	58	72	53	39	37	75	126	157	111	93	84	46	51	36	43
YNR067c	1	153	92	45	62	128	247	136	109	275	974	883	568	385	314	235	263	395
YBR158w	1	441	624	341	376	573	666	743	606	721	1769	1576	1100	749	760	734	733	1075
YDL117w	1	217	300	288	212	219	334	346	250	408	665	551	377	333	282	288	367	404
YGR035c	1	128	86	76	133	217	251	343	482	594	424	297	218	216	242	316	338	358
YHL026c	1	90	105	65	41	64	63	90	142	228	155	92	65	34	57	74	98	117
YMR007w	1	157	236	144	171	188	135	143	214	267	415	230	159	125	185	167	209	168
YMR254c	1	51	38	25	35	43	30	66	79	138	86	60	48	46	63	57	66	87
YNL046w	1	480	341	338	424	420	501	398	348	557	1579	1230	989	631	580	492	633	821
YOR264w	1	91	70	38	62	105	143	82	68	191	633	423	258	184	159	117	115	259
YPL066w	1	102	86	165	146	123	160	146	150	164	269	286	210	182	152	151	124	187
YBR052c	1	806	386	252	269	308	255	274	373	467	873	668	664	548	499	552	486	938
YPL158c	1	218	149	110	134	173	208	122	127	298	615	413	197	198	147	132	115	395
YHR022c	1	150	76	50	39	30	39	47	57	80	121	103	92	105	71	64	85	119
YPL004c	1	393	172	140	249	311	334	301	361	554	858	632	611	502	461	465	653	716
YBR157c	1	174	168	97	102	91	97	57	135	247	280	247	165	155	64	91	124	202
YNL078w	1	226	161	103	117	169	232	224	235	370	689	600	458	314	254	218	370	485
YOR066w	1	158	214	120	73	119	104	111	210	244	298	249	216	127	112	120	178	224
YMR031c	1	127	158	58	41	104	107	210	213	433	367	192	183	165	124	168	396	453
YBR053c	1	575	333	127	99	121	122	139	238	305	450	446	411	359	248	287	251	435
YDR511w	1	561	332	216	220	180	248	132	174	266	469	387	333	243	310	297	342	374
YLR254c	1	756	943	747	756	471	454	717	1624	1021	1081	937	551	383	579	919	1038	1115
YDR033w	1	1247	955	962	896	973	1035	2068	1763	1445	4268	2636	2031	1262	2210	2859	2623	3367
YKL163w	1	1075	616	384	469	261	305	359	369	455	919	939	707	721	694	655	630	815
YBR231c	1	225	172	240	160	168	136	151	171	185	275	231	211	158	173	155	129	244
YDR368w	1	410	270	267	226	202	190	154	210	295	317	383	450	316	312	242	281	325
YLR050c	1	1158	1063	1253	1024	840	835	707	866	683	1586	1610	1372	1095	1299	1246	950	845
YLR049c	1	98	147	276	172	149	176	106	99	231	667	599	444	326	262	190	184	362
YOR273c	1	328	151	114	110	173	203	258	435	593	657	342	329	254	307	425	656	535
YLR015w	1	366	442	280	263	244	294	317	366	382	261	238	305	329	331	355	366	354
YGR109c	2	174	333	747	312	110	120	144	88	104	392	443	297	193	197	142	112	144
YPR120c	2	562	785	1756	949	659	612	467	563	455	1207	1325	643	647	657	509	464	508
YDL127w	2	153	510	620	260	224	235	157	130	238	428	659	409	284	276	178	203	211
YNL289w	2	51	561	1004	892	361	271	206	113	90	345	654	562	381	304	222	150	141
YPL256c	2	445	1620	2485	1303	916	808	738	636	303	791	1288	1624	1035	839	687	868	433
YMR199w	2	149	1045	1344	1305	998	1013	717	571	323	1152	1870	1388	989	1074	769	614	601
YJL187c	2	61	103	293	259	185	130	90	75	68	152	228	220	167	121	101	73	63
YDL003w	2	207	745	1727	1136	634	480	371	295	229	1005	1532	1235	763	657	508	350	431
YMR076c	2	290	547	1508	1217	826	633	482	372	260	1010	1158	1064	611	638	518	386	344
YKL042w	2	89	180	442	287	202	219	136	126	126	320	475	356	278	267	191	144	113
YFL008w	2	115	186	360	282	170	114	117	105	116	211	298	241	213	183	140	119	123
YPL241c	2	54	81	266	226	134	122	110	86	89	157	250	170	170	155	126	57	134
YMR078c	2	139	242	396	323	203	183	149	118	134	258	315	339	251	149	148	134	123
YLR212c	2	60	138	247	180	126	122	107	136	167	202	288	244	187	126	143	101	115
YNL225c	2	80	172	227	191	172	150	165	138	168	193	253	315	224	251	215	188	180
YPL209c	2	48	58	144	128	86	83	51	37	44	68	70	66	61	75	59	34	38
YJL074c	2	53	86	189	128	68	83	47	47	68	101	197	202	121	77	78	39	55
YNL233w	2	208	326	560	335	210	204	170	169	203	232	389	364	244	195	152	205	170
YLR313c	2	68	140	348	197	107	70	52	26	58	67	173	137	146	65	39	54	46
YGR041w	2	48	56	92	53	45	56	40	32	42	79	118	111	93	66	42	40	58
YGR152c	2	164	277	489	384	202	177	170	129	171	283	367	375	236	220	187	156	136
YDR507c	2	293	518	1204	867	845	698	425	378	432	787	1257	1168	685	757	529	399	598
YLR286c	2	552	1080	447	258	287	466	435	299	217	1161	1840	1181	830	979	828	507	553
YIL159w	2	69	139	179	122	110	106	98	91	103	99	136	104	79	76	77	51	62
YGL027c	2	267	244	429	460	392	301	287	279	248	412	451	453	392	282	290	248	272
YML102w	2	190	306	694	434	235	180	151	145	189	486	388	327	212	268	156	170	135
YPR018w	2	213	252	551	286	81	100	39	38	129	265	260	137	155	82	78	71	97
YBL035c	2	134	323	595	234	184	149	136	103	122	349	399	289	215	202	132	104	100
YNL102w	2	99	149	408	319	163	117	75	52	87	164	319	255	216	160	110	67	100
YBR278w	2	242	307	460	342	229	256	230	239	234	309	329	292	277	245	266	247	262
YPR175w	2	213	368	582	307	188	161	170	131	152	378	402	188	228	220	143	104	169
YNL262w	2	287	278	471	441	342	274	250	226	285	560	563	445	420	347	259	233	277
YBR088c	2	622	947	1964	1452	1079	645	550	446	426	1566	1758	1616	1082	842	798	515	672
YLR103c	2	216	450	1108	663	497	326	266	158	193	545	649	614	426	266	265	180	198
YAR007c	2	193	306	868	423	240	185	203	158	200	520	595	557	462	388	237	185	241
YNL312w	2	564	742	1562	1222	857	598	425	344	437	904	1191	1287	838	706	558	511	462
YJL173c	2	666	774	1549	1643	1482	1021	773	647	764	1455	1268	1475	978	1215	957	892	831
YER070w	2	78	502	823	456	279	197	123	90	86	334	513	524	436	313	177	163	168
YOR074c	2	17	59	106	93	57	37	18	18	19	28	82	90	89	36	19	12	15
YDL164c	2	216	356	817	500	267	242	216	172	221	627	740	535	397	418	270	239	269
YKL045w	2	293	475	1089	733	380	474	387	301	357	404	468	600	521	595	368	370	359
YBR252w/	2	588	876	1176	950	843	688	848	704	621	1164	980	933	716	878	926	788	867
YLR032w	2	625	575	1127	685	509	424	408	468	360	764	948	647	428	546	447	329	352
YML060w	2	118	202	425	287	212	167	139	113	95	140	250	220	181	118	101	60	53
YDR097c	2	134	153	537	356	235	169	134	108	116	292	447	439	257	211	148	92	139
YNL082w	2	64	110	173	112	74	47	36	31	81	171	240	227	142	127	84	95	105
YOL090w	2	135	175	299	232	179	121	130	92	125	210	406	380	249	247	189	96	142
YLR383w	2	273	250	716	496	416	248	261	136	169	320	434	457	269	314	258	153	137
YKL113c	2	188	390	1007	820	514	279	209	179	251	585	627	751	524	341	250	193	226
YLR234w	2	69	53	164	110	71	58	60	54	66	111	91	107	98	69	70	77	54
YPL153c	2	72	147	383	190	103	87	37	36	49	124	196	195	129	96	75	21	51
YDL101c	2	250	344	620	520	416	417	413	383	340	375	605	491	467	459	411	436	293
YHR038W	2	311	267	207	156	182	164	206	206	278	316	333	281	200	244	272	239	221
YML021C	2	186	265	402	407	242	213	189	201	160	275	408	362	284	272	230	172	160
YML061c	2	731	770	1376	1033	759	744	585	581	415	662	979	737	650	888	671	393	380
YMR179w	2	265	555	1146	499	176	431	358	247	255	775	1300	687	419	484	348	234	298
YML027w	2	145	876	1432	647	410	527	346	237	175	838	1260	751	509	572	397	259	243
YPL127c	2	198	262	1052	1067	1085	919	546	423	273	428	669	988	780	879	702	747	391
YGL089c	2	147	544	414	237	127	218	124	154	322	880	956	868	574	660	762	842	1145
YPL187w	2	1466	1639	2039	1107	537	686	493	937	1394	4741	2438	1483	1326	1444	1354	1946	2305
YDL227c	2	20	80	519	212	51	97	87	67	54	328	711	534	286	269	138	80	111
YNL173c	2	213	97	24	41	74	66	54	43	98	148	199	183	122	100	91	111	142
YLL021w	2	182	270	559	479	555	461	413	256	249	317	426	395	450	391	363	289	241
YLR382c	2	182	163	230	116	110	122	116	84	85	121	199	181	165	56	123	127	119
YJL196c	2	463	464	814	614	294	290	236	247	351	553	703	510	500	485	476	522	540
YJR148w	2	950	913	1166	778	576	418	455	616	964	1638	1131	1278	1085	966	967	1062	1346
YOR317w	2	398	185	169	212	186	200	199	266	388	474	527	459	407	382	374	376	430
YKL165c	2	381	417	508	459	316	235	220	157	219	316	439	449	399	332	286	281	292
YLL002w	2	92	141	393	268	179	160	79	142	180	310	334	364	227	165	169	148	142
YPL124w	2	118	98	462	286	295	297	189	132	133	262	398	393	299	282	188	130	182
YKL101w	2	205	318	1014	919	826	595	534	323	353	708	1080	1235	1002	674	627	461	503
YLR457c	2	225	233	373	189	116	158	178	130	160	164	265	248	190	96	140	140	166
YDR297w	2	309	634	1005	1314	1215	1013	803	764	708	509	976	915	655	806	654	619	660
YBR070c	2	226	427	960	545	257	218	145	111	177	357	345	381	292	208	182	148	164
YLR233c	2	172	166	377	227	157	182	145	161	148	189	266	201	179	201	164	117	141
YPL057C/	2	158	185	209	311	271	229	187	181	234	304	345	318	291	180	159	123	227
YBR073w	2	858	975	1833	1149	1493	818	956	755	720	1264	1458	1462	973	870	805	717	745
YGL200c	2	355	417	644	503	504	417	339	327	368	580	549	598	527	546	471	558	458
YHR153c	2	14	30	108	59	20	30	22	12	19	50	101	115	57	36	32	19	23
YNL272C	2	180	168	337	302	228	214	233	178	256	260	375	316	337	310	261	213	231
YOR316C	2	328	227	250	249	255	288	298	282	316	508	416	431	268	274	355	360	379
YKR077w	2	131	514	532	233	203	287	157	135	198	869	894	493	337	335	239	199	286
YDL105w	2	98	75	150	93	100	66	63	60	52	157	135	134	81	68	59	48	77
YPL267w	2	132	584	1265	607	189	268	171	97	144	531	853	620	414	317	216	130	235
YDL156w	2	75	59	184	102	64	48	38	52	70	124	135	124	89	77	56	57	64
YOL017w	2	68	53	173	90	59	67	51	41	47	107	162	121	100	69	54	41	59
YBR071w	2	625	1142	1611	647	717	595	447	298	482	1692	1614	1076	694	671	558	561	799
YLL022c	2	316	336	856	681	470	282	315	307	245	522	574	505	444	406	335	283	273
YLR236c	2	87	79	187	146	77	59	52	43	48	129	117	92	92	68	75	58	44
YCL022c	2	69	55	174	101	58	53	52	36	48	184	215	182	103	60	49	23	60
YCL024w	2	51	80	166	85	51	55	51	42	47	87	171	146	124	37	48	32	45
YLR121c	2	289	318	617	451	305	326	287	178	117	267	496	419	217	239	240	183	166
YHR154w	2	83	134	370	206	138	155	106	69	96	136	264	295	220	164	134	82	90
YHR110w	2	341	290	494	503	217	257	165	116	238	416	580	523	319	338	318	233	231
YDL010w	2	393	267	821	675	539	349	328	306	356	573	660	695	591	412	359	310	355
YPR174c	2	154	207	414	215	79	105	82	108	98	111	206	216	163	106	105	129	121
YJL181w	2	119	222	394	252	187	201	137	126	144	275	470	312	207	252	184	139	177
YLR183c	2	66	172	693	501	267	177	144	70	86	239	581	426	346	249	160	120	115
YOL007c	2	309	780	1443	1159	572	414	291	191	177	430	899	865	644	440	267	238	219
YIL026c	2	229	294	645	389	310	314	176	127	129	271	401	390	309	255	156	112	149
YJR043c	2	225	345	606	545	402	403	379	337	281	147	352	392	382	315	270	183	249
YKL108w	2	150	248	511	266	84	127	94	72	114	62	151	263	203	136	69	68	82
YLR326w	2	262	151	438	422	331	271	155	41	129	159	351	317	240	246	115	166	103
YLR381w	2	112	132	248	169	132	152	131	78	73	93	198	167	136	68	100	94	88
YNL273w	2	132	241	477	238	170	165	138	120	179	345	364	386	239	170	120	151	125
YPL014w	2	88	40	107	65	48	60	44	37	66	104	161	105	119	70	65	57	85
YJL018w	2	93	75	186	130	100	91	80	52	77	86	127	124	129	103	62	79	80
YBR089w	2	241	409	965	707	471	291	257	213	204	705	856	831	601	379	354	187	281
YLR349w	2	328	443	786	886	723	607	656	804	860	1007	1579	1014	873	752	733	587	590
YCL061c	2	60	52	139	132	99	69	67	66	72	83	163	169	138	66	51	37	78
YDR309c	2	346	1132	648	507	468	565	435	404	509	863	1389	990	584	813	568	603	650
YKR013w	2	1117	1443	3732	3260	1428	1151	699	679	389	1261	2304	1712	1316	1592	1112	743	646
YJL078c	2	82	100	67	84	83	92	66	60	76	150	203	162	161	92	74	71	85
YKL161c	2	107	55	78	118	117	146	191	147	174	307	425	339	307	191	159	148	185
YDL018c	2	277	452	819	573	215	259	191	148	203	446	558	496	463	340	278	261	259
YKR083c	2	188	331	452	404	377	268	233	330	286	597	468	508	341	334	348	362	366
YDR383c	2	157	99	166	166	102	113	58	90	108	149	188	200	149	157	118	76	156
YDR013w	2	162	177	386	320	168	207	170	171	201	241	251	223	214	172	171	125	179
YGR238c	2	101	85	150	96	100	108	69	62	57	89	94	105	87	78	47	58	66
YHR113w	2	107	97	82	78	33	52	68	56	91	102	131	112	104	66	93	73	65
YDL119c	2	317	124	103	128	172	176	169	166	176	214	313	366	243	196	174	182	238
YDL124w	2	1024	758	383	337	455	362	305	387	399	541	555	509	454	360	345	493	574
YHR039c	2	358	184	222	345	335	383	478	456	514	723	811	625	654	456	493	457	594
YDR493w	2	808	657	367	313	373	432	398	483	522	575	751	627	430	636	513	604	944
YNL309w	2	78	123	226	145	54	53	47	11	75	120	140	129	98	66	45	75	44
YPL208w	2	264	284	709	589	298	309	255	219	250	355	447	391	338	349	305	252	256
YLR376c	2	220	330	539	409	342	305	250	176	215	350	348	333	283	285	191	250	245
YNL300w	2	247	397	1779	1464	847	652	419	240	165	414	880	414	677	608	401	206	259
YAR003W	2	149	190	294	187	137	153	161	154	164	118	195	201	240	123	155	138	111
YCL060c	2	70	60	131	116	66	41	38	51	58	67	120	120	113	57	52	33	58
YDL103c	2	242	401	588	402	327	321	281	271	270	384	439	423	320	293	258	343	329
YGL028c	2	58	64	27	38	46	45	52	36	29	185	256	179	165	72	49	40	82
YNL303w	2	249	350	583	400	277	234	227	234	248	428	506	404	298	331	269	276	269
YNL310c	2	763	659	1043	743	486	486	436	421	524	617	771	785	567	492	397	603	515
YOR144c	2	116	204	267	176	155	137	119	117	124	185	213	218	146	116	107	138	104
YDR113c	3	133	199	400	453	555	426	202	165	124	147	284	400	377	340	257	173	148
YNL126w	3	142	147	188	238	244	279	205	123	94	56	110	153	236	211	160	91	104
YEL061c	3	49	63	120	156	172	148	115	86	46	32	63	92	147	141	98	69	65
YHR172w	3	57	83	133	135	106	121	85	52	50	53	68	73	101	89	56	49	33
YPR141c	3	89	73	199	303	250	238	148	99	68	62	90	105	168	153	126	67	74
YLR045c	3	101	104	255	308	491	383	336	245	192	134	243	284	360	352	346	260	228
YGR140w	3	123	140	302	259	268	273	191	132	112	118	152	184	220	223	142	132	97
YBL063w	3	71	54	145	190	302	204	160	102	106	47	117	190	219	174	135	128	103
YDR488c	3	56	93	135	164	89	116	82	50	88	97	129	159	155	138	76	62	87
YMR198w	3	49	81	39	107	161	168	143	172	151	102	96	133	198	148	133	193	129
YOR026w	3	157	389	763	483	442	370	375	385	333	379	471	565	350	339	328	320	266
YDR356w	3	67	83	139	177	238	247	112	94	100	90	158	199	205	171	127	100	95
YIL140w	3	119	110	419	354	206	167	96	70	59	117	247	302	259	160	110	95	94
YKL067w	3	626	527	774	1002	866	426	348	251	561	965	826	1279	975	738	702	869	924
YJR006w	3	225	216	488	378	309	321	290	234	258	178	98	380	334	289	233	209	233
YBL003c/	3	723	553	1597	1753	2478	887	1362	1053	745	1205	1569	1916	1415	1720	2300	1579	1156
YBL002w/	3	278	470	1444	1980	2384	868	962	877	594	850	1563	2265	1845	1982	1677	1595	968
YMR190c	3	63	35	56	78	150	154	134	84	73	12	51	65	93	84	50	74	29
YJL115w	3	187	239	593	398	140	126	87	64	145	55	55	373	318	195	119	105	154
YDL197c	3	267	218	476	411	304	252	174	170	176	265	335	344	259	235	194	145	199
YCR065w	3	81	164	281	250	207	171	131	153	119	176	235	244	227	159	109	110	110
YPL016w	3	56	68	158	197	252	242	193	187	159	91	131	98	175	160	139	93	134
YBL052c	3	149	100	97	183	290	220	287	261	216	145	137	209	263	228	235	209	205
YBR275c	3	150	194	328	281	311	187	164	199	148	261	286	287	243	160	153	114	152
YIL126w	3	63	112	122	121	186	240	175	174	183	135	125	158	191	154	139	140	130
YFR037c	3	313	401	518	552	440	414	439	414	386	313	346	426	526	412	341	432	371
YKL127W/	3	233	243	542	667	371	416	408	368	287	455	625	536	536	555	475	353	281
YAR008w	3	130	328	733	425	257	189	190	151	201	335	434	403	484	284	216	133	175
YER001w	3	269	645	982	900	942	620	530	395	277	310	625	786	806	776	572	531	422
YER003c	3	139	200	425	461	425	279	289	243	175	212	297	363	401	335	232	243	175
YDL093w	3	182	117	288	327	271	195	200	175	173	163	216	249	205	155	153	135	107
YIR017c	3	46	29	68	169	229	188	67	45	49	46	77	101	90	84	83	78	84
YKR001c	3	252	277	350	437	447	422	389	291	356	291	431	432	473	412	387	378	401
YDL095w	3	612	502	756	830	713	543	538	479	503	699	795	840	693	593	631	543	448
YNL073w	3	218	137	114	116	83	97	128	105	183	258	263	281	228	188	179	149	215
YER118c	3	108	181	290	304	257	223	170	193	164	157	235	324	377	318	200	226	196
YJR137c	3	142	165	180	369	793	533	395	299	228	226	240	310	392	340	345	391	457
YER017c	3	187	194	167	151	214	135	175	170	178	205	199	194	186	169	112	166	190
YER016w	3	187	203	292	475	316	255	242	233	147	266	263	279	255	290	188	209	190
YCR035c	3	341	213	264	316	449	359	485	391	387	253	283	367	385	347	384	291	428
YOL019w	3	274	326	578	686	625	561	442	351	445	767	762	863	675	531	437	546	549
YLR151c	3	203	88	364	229	161	106	131	85	101	162	131	233	196	148	130	133	122
YOR284w	3	201	191	415	295	163	154	122	100	89	138	204	197	154	124	86	103	114
YMR048w	3	121	85	319	113	43	46	58	37	58	106	147	163	135	105	63	69	77
YKR010c	3	176	218	245	335	512	341	348	195	175	151	132	175	338	335	318	211	203
YHR061c	3	43	28	47	56	67	83	62	31	34	26	50	59	63	67	68	43	17
YEL017w	3	72	82	92	132	164	121	62	86	81	73	50	90	166	142	69	114	84
YLL062c	3	121	147	134	375	522	414	201	130	147	200	185	255	241	176	171	214	308
YJR155w	3	181	246	348	261	198	131	89	119	138	178	210	244	186	182	159	167	184
YLR126c	3	319	274	515	382	285	163	202	121	203	210	193	330	340	275	244	261	276
YJL118w	3	106	98	202	309	290	289	187	194	179	186	240	261	266	293	194	182	147
YDR179c	3	370	406	410	639	595	639	501	404	325	195	232	353	373	507	371	314	299
YDR219c	3	104	84	72	225	203	285	162	191	208	95	132	196	225	232	208	172	184
YNL176c	3	105	79	61	147	220	211	206	174	164	78	131	159	218	156	169	144	128
YER018c	3	98	102	173	214	272	171	141	138	94	106	95	130	138	144	128	109	76
YBR156c	3	114	113	154	190	263	216	170	172	126	133	125	158	179	130	127	82	95
YLR455w	3	191	232	139	347	427	375	267	351	215	212	258	299	347	405	419	298	247
YBR184w	3	130	83	42	87	100	70	55	59	44	19	26	55	70	28	40	39	26
YLR228c	3	103	80	99	121	144	96	63	103	89	91	36	77	88	51	50	81	67
YDR252w	3	211	128	96	149	216	171	122	167	129	51	100	136	154	161	124	173	133
YNL304w	3	89	158	248	180	196	138	195	178	130	175	226	279	175	171	138	173	123
YGR189C	3	1048	981	1838	1316	1160	938	893	710	701	1435	1168	1128	1133	853	605	883	1080
YAL034W-a	3	69	102	187	135	140	100	113	77	58	126	124	144	152	94	76	55	57
YBR007c	3	163	192	330	277	342	308	248	223	182	157	214	248	259	176	198	186	150
YBR276c	3	334	442	433	445	384	313	377	392	371	362	461	419	394	306	360	285	311
YCRX04w	3	278	437	352	343	406	456	553	464	397	289	315	322	399	414	464	508	372
YDL096c	3	53	33	58	66	36	37	21	40	42	9	67	86	91	33	13	24	27
YEL018w	3	124	162	174	187	214	177	133	155	116	109	97	125	170	205	115	175	154
YER019w	3	212	201	382	422	308	236	245	213	162	217	204	199	298	253	201	169	157
YFR026C	3	113	123	155	76	74	51	36	42	41	72	74	80	57	58	35	44	43
YFR027W	3	48	89	175	113	53	48	39	29	36	89	93	82	55	50	31	34	26
YFR038w	3	39	65	88	79	66	51	63	57	57	29	67	71	55	44	50	39	37
YKL066W	3	654	430	653	1006	956	600	549	325	477	1468	845	1083	494	746	364	947	905
YLL061w	3	79	87	116	263	358	203	103	80	102	103	73	99	126	79	96	140	161
YNL072W	3	50	105	152	103	93	60	60	40	81	180	145	170	106	100	87	79	64
YIL050w	4	64	54	79	102	169	189	140	120	120	78	87	123	129	143	135	125	122
YIL106w	4	61	83	73	81	122	192	258	233	286	162	148	115	102	150	227	156	146
YBL097w	4	27	39	41	40	84	79	80	68	54	51	47	54	61	72	64	43	60
YKL049c	4	255	250	465	516	595	494	427	390	329	341	382	440	487	548	521	430	357
YCL014w	4	39	38	32	54	97	120	162	182	120	28	47	47	71	100	93	58	89
YOR188w	4	109	156	189	203	223	277	217	176	110	104	99	150	148	141	136	93	75
YJR076c	4	658	577	781	951	1107	1203	1032	1108	755	573	790	705	825	1209	1117	796	685
YJL099w	4	154	64	88	131	125	238	230	140	147	126	75	109	130	195	163	144	121
YKL048c	4	102	74	86	140	166	186	165	117	126	77	95	129	185	186	186	155	152
YBR038w	4	93	65	103	124	141	195	430	429	434	231	184	123	185	154	290	289	218
YJL092w	4	180	203	340	486	573	653	425	335	256	255	255	319	355	487	358	262	224
YCR084c	4	228	331	314	392	409	382	405	394	278	280	263	270	352	375	358	269	239
YGL255w	4	124	177	149	184	209	253	329	275	245	179	133	152	224	276	331	393	275
YLR014c	4	98	233	126	94	72	84	122	134	120	103	102	88	104	101	129	119	102
YJL137c	4	135	125	65	160	240	258	192	211	160	133	123	129	164	186	198	173	142
YOR274w	4	560	502	399	291	304	397	495	583	552	351	303	302	338	340	341	307	453
YBR104w	4	298	580	740	508	445	460	663	616	513	452	504	528	606	630	786	759	599
YJR112w	4	196	211	397	599	581	489	416	304	342	308	295	404	491	681	546	475	346
YCR073c	4	106	145	196	189	210	343	349	219	189	198	196	186	192	193	221	238	186
YDL198c	4	377	377	376	538	651	669	649	566	551	557	636	700	787	964	1037	1229	1007
YLL046c	4	213	170	136	123	150	177	137	111	82	69	39	64	102	123	116	109	92
YDR389w	4	188	241	163	116	256	375	330	226	214	179	232	178	158	336	281	348	249
YDR464w	4	352	517	286	395	535	554	370	392	336	252	263	311	338	508	379	383	269
YKL068w	4	476	632	546	631	675	761	748	1055	569	433	650	453	535	656	711	402	386
YIL131c	4	52	64	67	167	330	348	227	177	167	91	74	118	172	194	163	144	106
YDR451c	4	59	134	121	155	296	392	179	148	120	74	117	153	236	361	268	193	165
YCR085w	4	61	100	68	118	205	219	178	136	85	59	64	68	90	152	129	114	59
YMR003w	4	487	448	579	1399	1757	1775	1302	838	567	369	507	774	1000	1640	1261	897	665
YNR009w	4	93	211	417	658	931	936	687	473	379	333	500	767	823	916	614	736	426
YOR073w	4	133	93	161	325	402	405	298	285	230	119	132	249	341	382	296	224	223
YMR215w	4	498	485	487	756	1312	1437	1352	878	575	540	641	626	910	1627	1146	1080	706
YLL047w	4	246	254	158	135	140	208	187	113	103	87	79	70	98	130	149	124	104
YDR366c	4	90	170	123	104	92	154	172	71	96	76	53	58	80	151	147	133	82
YIL158w	4	160	180	324	432	879	1083	1184	1077	932	666	576	471	492	930	825	1124	1003
YGL101w	4	102	139	130	217	226	233	291	224	194	121	169	225	273	310	343	304	201
YJR110w	4	104	100	76	162	178	253	192	176	140	63	134	121	166	171	183	125	125
YOL012c	4	188	219	286	492	759	599	617	513	453	512	506	630	577	780	792	807	442
YBL032w	4	238	302	263	313	653	445	619	509	383	349	284	357	434	481	517	445	362
YBR043c	4	264	306	309	326	429	378	518	454	358	316	246	274	376	402	549	503	463
YCL012w	4	52	63	37	85	148	160	202	234	191	153	73	73	120	98	120	109	107
YCL013w	4	24	35	24	40	60	90	114	141	90	24	42	30	74	25	52	44	55
YCL062w	4	253	284	203	446	598	540	595	613	540	300	259	312	470	430	450	449	361
YCL063w	4	112	153	117	187	313	283	303	380	252	94	126	146	234	169	180	190	179
YCR086w	4	169	213	245	250	254	341	247	203	165	174	116	138	229	287	250	259	143
YDR324C	4	228	615	449	339	327	585	658	498	535	419	372	361	379	527	488	569	536
YDR325W	4	245	403	324	364	415	543	455	329	342	238	240	287	373	543	420	532	351
YIL169C	4	84	40	160	266	287	226	227	170	174	126	123	128	181	185	202	151	134
