@relation bank_clustered

@attribute Instance_number numeric
@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
58,29,FEMALE,INNER_CITY,15143.8,YES,0,NO,NO,YES,NO,NO,cluster5
59,34,MALE,INNER_CITY,25334.3,NO,1,YES,YES,YES,YES,YES,cluster1
60,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES,YES,cluster1
61,65,FEMALE,INNER_CITY,36589,NO,1,YES,NO,YES,NO,YES,cluster4
62,47,MALE,INNER_CITY,27022.6,YES,2,NO,YES,YES,NO,NO,cluster2
63,20,MALE,INNER_CITY,11700.4,YES,0,NO,YES,NO,NO,NO,cluster2
64,21,MALE,TOWN,5014.21,NO,0,YES,YES,YES,YES,NO,cluster3
65,42,MALE,INNER_CITY,17390.1,YES,0,NO,YES,YES,NO,NO,cluster2
66,19,MALE,TOWN,10861,NO,2,NO,YES,YES,NO,NO,cluster0
67,41,FEMALE,TOWN,34892.9,NO,0,NO,YES,YES,YES,NO,cluster5
68,30,MALE,TOWN,19403.1,NO,2,NO,YES,YES,NO,NO,cluster0
69,31,FEMALE,RURAL,10441.9,YES,2,NO,NO,YES,NO,YES,cluster0
70,25,MALE,INNER_CITY,14064.9,YES,3,YES,YES,YES,NO,NO,cluster2
71,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,NO,YES,cluster4
72,36,MALE,INNER_CITY,31982,YES,3,YES,YES,YES,YES,YES,cluster1
73,58,FEMALE,INNER_CITY,23197.5,YES,2,NO,YES,NO,YES,NO,cluster1
74,64,FEMALE,INNER_CITY,52674,NO,2,YES,YES,YES,NO,YES,cluster4
75,59,FEMALE,RURAL,35610.5,NO,2,YES,NO,NO,NO,YES,cluster4
76,45,FEMALE,TOWN,26948,NO,0,NO,YES,YES,YES,NO,cluster5
77,61,MALE,INNER_CITY,49456.7,YES,1,YES,YES,YES,YES,YES,cluster1
78,30,FEMALE,INNER_CITY,14724.5,YES,0,YES,NO,YES,NO,NO,cluster2
79,58,FEMALE,TOWN,34524.9,YES,2,YES,YES,NO,NO,YES,cluster4
80,50,FEMALE,TOWN,22052.1,NO,3,NO,YES,YES,NO,YES,cluster0
81,30,MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,NO,NO,cluster0
82,29,FEMALE,INNER_CITY,12591.4,YES,1,NO,YES,YES,NO,NO,cluster1
83,35,MALE,INNER_CITY,16394.4,YES,1,NO,YES,YES,NO,YES,cluster1
84,62,MALE,INNER_CITY,24026.1,YES,0,NO,NO,YES,YES,YES,cluster3
85,36,MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,NO,YES,cluster2
86,25,FEMALE,INNER_CITY,15525,YES,0,NO,YES,YES,NO,NO,cluster5
87,66,FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,YES,NO,cluster4
88,30,MALE,SUBURBAN,15848.7,YES,0,YES,YES,NO,YES,NO,cluster2
89,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,YES,NO,YES,cluster1
90,37,MALE,TOWN,24814.5,YES,1,YES,NO,YES,YES,YES,cluster3
91,28,FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,YES,NO,cluster0
92,53,FEMALE,RURAL,34866.5,NO,0,NO,NO,YES,NO,YES,cluster4
93,61,MALE,INNER_CITY,42579.1,YES,2,YES,YES,YES,NO,NO,cluster2
94,61,FEMALE,INNER_CITY,41127.4,YES,0,YES,YES,NO,NO,NO,cluster2
95,18,FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,YES,NO,NO,cluster5
96,22,MALE,INNER_CITY,7948.62,YES,1,NO,NO,NO,YES,NO,cluster1
97,34,MALE,TOWN,30870.8,YES,2,YES,YES,YES,YES,YES,cluster3
98,35,FEMALE,INNER_CITY,12125.8,NO,2,NO,YES,YES,NO,NO,cluster0
99,18,FEMALE,RURAL,15348.9,YES,0,YES,NO,YES,NO,NO,cluster5
100,54,MALE,INNER_CITY,26707.9,YES,1,NO,YES,YES,YES,YES,cluster1
101,27,FEMALE,INNER_CITY,11604.4,YES,2,YES,YES,YES,NO,NO,cluster2
102,42,MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES,YES,cluster3
103,43,MALE,TOWN,33088.5,NO,0,NO,YES,YES,YES,NO,cluster5
104,64,FEMALE,INNER_CITY,34513.6,YES,1,NO,YES,YES,NO,YES,cluster1
105,43,MALE,TOWN,32395.5,YES,3,YES,YES,YES,NO,NO,cluster2
106,49,MALE,RURAL,46633,YES,0,YES,YES,NO,NO,NO,cluster2
107,23,MALE,INNER_CITY,13039.9,YES,0,NO,NO,YES,NO,NO,cluster2
108,23,MALE,INNER_CITY,12681.9,NO,0,NO,YES,YES,NO,YES,cluster4
109,30,FEMALE,INNER_CITY,24031.5,YES,2,YES,YES,YES,YES,NO,cluster1
110,36,MALE,TOWN,37330.5,NO,2,NO,YES,YES,NO,YES,cluster5
111,34,MALE,INNER_CITY,25333.2,YES,3,YES,NO,NO,YES,NO,cluster3
112,51,FEMALE,INNER_CITY,37094.2,YES,0,YES,NO,YES,NO,NO,cluster2
113,36,MALE,TOWN,33630.6,NO,2,YES,YES,YES,NO,YES,cluster4
114,56,MALE,INNER_CITY,43228.2,YES,1,YES,YES,YES,NO,YES,cluster2
115,54,FEMALE,INNER_CITY,47796.8,YES,0,NO,YES,YES,NO,NO,cluster5
116,56,FEMALE,TOWN,21730.3,YES,2,NO,YES,NO,NO,NO,cluster5
117,26,MALE,INNER_CITY,10044.1,YES,3,NO,YES,YES,YES,NO,cluster1
118,39,MALE,TOWN,17270.1,NO,0,YES,NO,NO,NO,YES,cluster3
119,64,FEMALE,RURAL,45765,YES,3,YES,YES,YES,NO,YES,cluster4
120,46,MALE,RURAL,29525.5,NO,2,NO,YES,NO,YES,NO,cluster0
121,62,FEMALE,RURAL,54863.8,YES,1,YES,YES,YES,NO,YES,cluster4
122,36,FEMALE,TOWN,20799,YES,1,NO,YES,NO,YES,YES,cluster1
123,35,FEMALE,RURAL,33028.3,NO,1,NO,YES,YES,NO,YES,cluster0
124,47,MALE,RURAL,45031.9,NO,3,YES,YES,NO,NO,YES,cluster4
125,47,MALE,INNER_CITY,39010.8,YES,2,NO,NO,YES,NO,YES,cluster2
126,37,FEMALE,TOWN,25257.7,YES,0,YES,YES,YES,NO,NO,cluster5
127,48,FEMALE,INNER_CITY,42603.9,YES,0,NO,YES,YES,NO,NO,cluster5
128,41,MALE,TOWN,14092.7,YES,3,YES,YES,YES,NO,NO,cluster2
129,27,FEMALE,RURAL,21350.3,NO,0,YES,YES,YES,NO,YES,cluster4
130,43,MALE,INNER_CITY,23246.4,NO,2,NO,NO,YES,NO,NO,cluster2
131,61,MALE,RURAL,41609.5,YES,3,NO,YES,YES,YES,NO,cluster0
132,52,FEMALE,SUBURBAN,16716.1,NO,2,YES,YES,YES,NO,NO,cluster4
133,64,FEMALE,SUBURBAN,36436.4,YES,0,YES,NO,YES,NO,NO,cluster2
134,66,FEMALE,TOWN,59503.8,YES,2,YES,YES,YES,YES,YES,cluster3
135,53,FEMALE,TOWN,31334.8,YES,1,YES,YES,YES,NO,YES,cluster4
136,20,FEMALE,INNER_CITY,14048.9,YES,2,YES,NO,YES,YES,NO,cluster1
137,57,FEMALE,INNER_CITY,39205.3,NO,0,NO,YES,YES,NO,YES,cluster4
138,65,FEMALE,RURAL,42173.9,YES,0,NO,YES,YES,NO,NO,cluster5
139,64,FEMALE,INNER_CITY,55263,NO,1,NO,YES,YES,NO,YES,cluster4
140,52,MALE,INNER_CITY,37095.2,YES,3,NO,YES,YES,NO,NO,cluster2
141,47,FEMALE,INNER_CITY,22791.4,YES,0,NO,NO,YES,NO,NO,cluster5
142,28,FEMALE,TOWN,17240.6,YES,1,YES,NO,NO,YES,NO,cluster3
143,64,MALE,TOWN,48974.8,YES,0,YES,YES,YES,YES,NO,cluster2
144,25,MALE,INNER_CITY,18923,YES,1,NO,YES,YES,NO,YES,cluster1
145,58,MALE,SUBURBAN,51204.2,YES,0,NO,YES,NO,YES,YES,cluster3
146,34,MALE,TOWN,20236.2,YES,2,YES,NO,YES,NO,NO,cluster3
147,20,FEMALE,INNER_CITY,18860.3,NO,2,NO,YES,YES,NO,NO,cluster0
148,63,MALE,RURAL,25732.5,YES,0,YES,YES,NO,NO,NO,cluster2
149,30,FEMALE,SUBURBAN,28240.4,YES,3,YES,YES,YES,NO,NO,cluster0
150,53,MALE,RURAL,28193.6,YES,1,YES,YES,YES,NO,YES,cluster2
151,43,MALE,TOWN,36432.8,NO,2,YES,NO,YES,NO,YES,cluster3
152,63,MALE,TOWN,54618.8,YES,2,NO,YES,NO,YES,YES,cluster3
153,33,MALE,INNER_CITY,24760.8,YES,1,NO,YES,YES,YES,YES,cluster1
154,41,MALE,RURAL,23356.1,NO,2,YES,NO,NO,NO,NO,cluster0
155,20,FEMALE,SUBURBAN,8143.75,YES,2,NO,YES,YES,NO,YES,cluster1
156,50,MALE,TOWN,26462.5,YES,0,YES,YES,YES,NO,NO,cluster2
157,24,MALE,RURAL,20467.3,YES,2,YES,YES,YES,NO,NO,cluster2
158,60,FEMALE,TOWN,21506.2,YES,0,NO,NO,YES,NO,YES,cluster5
159,44,FEMALE,TOWN,15315.3,YES,1,NO,YES,YES,NO,YES,cluster5
160,23,MALE,INNER_CITY,18875.7,YES,2,YES,YES,YES,NO,NO,cluster2
161,40,FEMALE,INNER_CITY,12977.2,YES,0,NO,NO,NO,NO,NO,cluster5
162,49,FEMALE,TOWN,20708.5,NO,3,NO,NO,YES,NO,NO,cluster0
163,21,FEMALE,TOWN,7549.38,NO,1,YES,NO,YES,NO,NO,cluster0
164,40,FEMALE,INNER_CITY,24904,YES,0,NO,NO,NO,NO,NO,cluster5
165,26,MALE,RURAL,24071.8,YES,1,NO,NO,YES,YES,YES,cluster1
166,20,MALE,TOWN,9589.91,NO,1,NO,YES,YES,YES,NO,cluster0
167,24,MALE,INNER_CITY,8562.86,NO,1,NO,NO,NO,YES,NO,cluster1
168,37,FEMALE,TOWN,26707.5,NO,0,YES,YES,YES,NO,NO,cluster5
169,56,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,NO,cluster2
170,52,MALE,INNER_CITY,49175.7,YES,0,YES,YES,YES,NO,NO,cluster2
171,22,MALE,INNER_CITY,19726.3,YES,2,NO,NO,YES,NO,NO,cluster2
172,35,MALE,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO,NO,cluster2
173,34,MALE,RURAL,26999.4,YES,1,YES,YES,YES,NO,YES,cluster2
174,67,FEMALE,TOWN,41558.1,YES,2,NO,YES,YES,NO,YES,cluster5
175,58,FEMALE,INNER_CITY,56340.3,NO,0,NO,YES,YES,NO,YES,cluster4
176,40,MALE,TOWN,37558.5,YES,0,YES,YES,YES,NO,NO,cluster2
177,41,FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,YES,YES,YES,cluster1
178,43,MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,NO,YES,cluster3
179,63,MALE,INNER_CITY,36086.1,YES,2,NO,NO,YES,NO,YES,cluster2
180,22,FEMALE,INNER_CITY,17655,YES,1,NO,YES,YES,YES,YES,cluster1
181,60,MALE,RURAL,56658.9,NO,0,NO,YES,YES,NO,YES,cluster4
182,65,FEMALE,INNER_CITY,37706.5,NO,0,YES,YES,YES,YES,NO,cluster4
183,48,FEMALE,INNER_CITY,18516,YES,2,YES,YES,YES,YES,NO,cluster2
184,38,FEMALE,INNER_CITY,29622,NO,0,YES,YES,NO,YES,NO,cluster4
185,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,YES,cluster3
186,20,FEMALE,INNER_CITY,18275.5,YES,0,NO,NO,NO,YES,YES,cluster1
187,48,FEMALE,TOWN,34410,YES,1,NO,NO,YES,NO,YES,cluster5
188,38,MALE,INNER_CITY,34866.9,YES,2,YES,NO,YES,YES,NO,cluster3
189,41,FEMALE,INNER_CITY,21796.6,YES,0,NO,NO,YES,NO,NO,cluster5
190,67,FEMALE,SUBURBAN,63130.1,YES,2,YES,YES,YES,NO,YES,cluster4
191,39,MALE,INNER_CITY,14996.4,YES,1,YES,YES,NO,NO,NO,cluster2
192,64,FEMALE,RURAL,49024.9,YES,3,NO,YES,YES,NO,YES,cluster0
193,41,MALE,INNER_CITY,16249.8,YES,0,YES,NO,YES,YES,YES,cluster3
194,55,MALE,SUBURBAN,36192.1,YES,2,YES,NO,YES,NO,YES,cluster3
195,52,MALE,INNER_CITY,17839.9,YES,1,NO,YES,NO,YES,YES,cluster1
196,30,FEMALE,INNER_CITY,18802.4,NO,0,NO,NO,YES,YES,YES,cluster1
197,52,MALE,INNER_CITY,48720.3,YES,2,YES,YES,YES,NO,YES,cluster2
198,26,MALE,INNER_CITY,14585.9,NO,2,NO,NO,YES,YES,NO,cluster0
199,26,FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,YES,cluster1
200,46,MALE,TOWN,26077.8,YES,1,YES,YES,YES,NO,YES,cluster2
201,46,FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,NO,cluster5
202,52,MALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO,NO,cluster2
203,37,MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO,NO,cluster2
204,22,MALE,INNER_CITY,12764.8,YES,1,NO,YES,YES,YES,YES,cluster1
205,18,MALE,INNER_CITY,14388.6,NO,0,YES,NO,YES,YES,YES,cluster3
206,63,MALE,INNER_CITY,59409.1,NO,0,YES,YES,YES,NO,YES,cluster4
207,25,FEMALE,INNER_CITY,14960.2,YES,0,NO,YES,YES,YES,NO,cluster1
208,67,MALE,INNER_CITY,39666.6,YES,0,YES,YES,YES,NO,NO,cluster2
209,27,MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,NO,YES,cluster4
210,61,MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,NO,YES,cluster4
211,58,MALE,TOWN,33123.7,YES,1,YES,YES,YES,NO,YES,cluster2
212,22,MALE,INNER_CITY,14433.4,YES,0,YES,YES,YES,NO,YES,cluster2
213,28,MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,YES,cluster3
214,23,MALE,INNER_CITY,9824.37,YES,0,NO,YES,YES,NO,NO,cluster2
215,27,MALE,SUBURBAN,17610.3,YES,0,NO,YES,YES,NO,NO,cluster5
216,27,FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO,NO,cluster5
217,40,FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,YES,NO,cluster2
218,39,MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,YES,cluster4
219,35,FEMALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO,NO,cluster2
220,37,FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,NO,cluster4
221,47,MALE,INNER_CITY,42124.1,YES,2,NO,YES,YES,NO,YES,cluster2
222,42,FEMALE,INNER_CITY,39308.7,YES,1,NO,YES,YES,NO,YES,cluster1
223,67,FEMALE,INNER_CITY,43530,YES,0,NO,YES,YES,YES,NO,cluster5
224,57,MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,YES,cluster0
225,47,FEMALE,RURAL,27434.8,NO,0,YES,YES,YES,NO,YES,cluster4
226,67,MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,YES,cluster2
227,56,MALE,TOWN,24888.2,NO,0,NO,YES,YES,NO,YES,cluster4
228,37,MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,YES,cluster3
229,27,MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,NO,YES,cluster4
230,59,FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,YES,cluster3
231,31,MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,YES,NO,cluster1
232,31,MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,YES,cluster3
233,32,FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO,NO,cluster5
234,57,FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,NO,cluster0
235,49,FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,YES,cluster1
236,65,MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,YES,cluster4
237,22,FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,YES,NO,cluster1
238,26,FEMALE,RURAL,18067.5,YES,2,NO,YES,NO,NO,NO,cluster0
239,23,MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO,NO,cluster2
240,26,FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO,NO,cluster0
241,59,FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,YES,cluster4
242,67,MALE,INNER_CITY,35263.5,YES,1,YES,YES,YES,NO,YES,cluster2
243,34,FEMALE,INNER_CITY,19968.1,YES,0,YES,YES,YES,NO,NO,cluster2
244,50,MALE,RURAL,27825.5,YES,2,YES,YES,NO,NO,NO,cluster2
245,46,MALE,SUBURBAN,37773.9,NO,0,YES,YES,YES,YES,NO,cluster2
246,23,FEMALE,INNER_CITY,7606.25,NO,3,YES,NO,NO,NO,NO,cluster0
247,26,MALE,RURAL,21384.4,YES,0,NO,NO,YES,NO,NO,cluster5
248,40,MALE,TOWN,20347,YES,3,NO,YES,YES,NO,NO,cluster5
249,36,MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,NO,cluster3
250,65,MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,NO,cluster2
251,45,FEMALE,TOWN,36057.8,YES,1,YES,YES,YES,YES,YES,cluster1
252,23,MALE,INNER_CITY,14290.5,YES,2,NO,NO,YES,YES,NO,cluster1
253,42,FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,YES,cluster1
254,21,FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,NO,cluster0
255,62,FEMALE,INNER_CITY,24262.8,NO,0,YES,NO,YES,NO,YES,cluster4
256,49,FEMALE,SUBURBAN,26097.9,NO,2,NO,YES,YES,NO,NO,cluster0
257,28,FEMALE,TOWN,23371,YES,2,NO,NO,YES,YES,NO,cluster5
258,38,FEMALE,TOWN,21495.6,NO,3,NO,NO,YES,YES,NO,cluster0
259,36,MALE,TOWN,12166.9,NO,0,NO,NO,NO,NO,NO,cluster5
260,22,MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,NO,cluster5
261,40,FEMALE,TOWN,28882.3,YES,1,NO,YES,YES,YES,YES,cluster1
262,40,FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO,NO,cluster5
263,60,FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,NO,cluster2
264,23,MALE,INNER_CITY,19166,NO,0,YES,YES,NO,NO,YES,cluster4
265,21,MALE,INNER_CITY,17921.8,YES,1,YES,NO,NO,NO,YES,cluster3
266,58,MALE,TOWN,33229,NO,0,YES,YES,YES,NO,YES,cluster4
267,48,FEMALE,SUBURBAN,30396.1,NO,0,NO,YES,YES,NO,YES,cluster4
268,63,FEMALE,TOWN,34625.2,YES,0,YES,NO,YES,NO,NO,cluster5
269,20,MALE,TOWN,16672.8,NO,3,YES,NO,YES,YES,NO,cluster3
270,67,FEMALE,SUBURBAN,60747.5,NO,2,NO,YES,YES,YES,YES,cluster1
271,62,FEMALE,INNER_CITY,56394.3,NO,0,YES,YES,YES,NO,YES,cluster4
272,36,MALE,TOWN,13236.4,YES,0,NO,YES,YES,NO,NO,cluster5
273,31,MALE,INNER_CITY,28409.4,YES,1,YES,NO,YES,NO,YES,cluster3
274,42,FEMALE,INNER_CITY,27056.5,YES,0,YES,YES,YES,NO,NO,cluster2
275,18,MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES,YES,cluster3
276,46,FEMALE,SUBURBAN,28702.7,NO,1,NO,YES,YES,YES,YES,cluster1
277,25,MALE,TOWN,22366.1,YES,1,YES,YES,YES,NO,YES,cluster3
278,65,FEMALE,RURAL,24477.5,NO,0,NO,YES,NO,YES,NO,cluster0
279,40,MALE,TOWN,36972.4,YES,1,NO,NO,YES,YES,YES,cluster3
280,32,MALE,INNER_CITY,22327.8,YES,1,NO,NO,NO,NO,YES,cluster1
281,18,FEMALE,INNER_CITY,15610.2,YES,0,NO,YES,YES,NO,NO,cluster5
282,64,MALE,INNER_CITY,54314.5,YES,1,YES,YES,NO,NO,YES,cluster2
283,43,FEMALE,INNER_CITY,39175.8,YES,3,NO,YES,YES,YES,NO,cluster1
284,22,FEMALE,INNER_CITY,13739,YES,3,NO,YES,YES,NO,NO,cluster0
285,25,MALE,TOWN,9485.84,YES,0,NO,NO,NO,NO,NO,cluster5
286,39,MALE,INNER_CITY,24675.7,YES,1,YES,YES,YES,YES,YES,cluster1
287,58,FEMALE,INNER_CITY,28253.6,YES,3,NO,NO,YES,NO,NO,cluster5
288,33,MALE,INNER_CITY,14136.5,YES,1,NO,YES,NO,NO,NO,cluster2
289,52,FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,NO,YES,cluster4
290,23,MALE,INNER_CITY,13519.2,NO,0,NO,YES,YES,NO,YES,cluster4
291,44,FEMALE,INNER_CITY,39253.6,NO,0,YES,YES,NO,NO,YES,cluster4
292,51,MALE,RURAL,46323.8,YES,2,YES,YES,YES,YES,YES,cluster3
293,26,FEMALE,TOWN,20950.7,YES,0,NO,YES,YES,NO,NO,cluster5
294,42,MALE,TOWN,22495.7,YES,0,NO,YES,NO,YES,NO,cluster5
295,34,MALE,TOWN,32548.9,YES,0,YES,YES,YES,YES,NO,cluster3
296,54,FEMALE,RURAL,24583.4,NO,2,YES,YES,YES,YES,NO,cluster0
